insieme;id_precedente;nome_precedente;id_documento;nome_file;percorso_relativo
GOLDEN;ATTO_051;atto_51.pdf;GOLD_0001;GOLD_0001.pdf;Delibere golden\GOLD_0001.pdf
GOLDEN;ATTO_052;atto_52.pdf;GOLD_0002;GOLD_0002.pdf;Delibere golden\GOLD_0002.pdf
GOLDEN;ATTO_053;atto_53.pdf;GOLD_0003;GOLD_0003.pdf;Delibere golden\GOLD_0003.pdf
GOLDEN;ATTO_054;atto_54.pdf;GOLD_0004;GOLD_0004.pdf;Delibere golden\GOLD_0004.pdf
GOLDEN;ATTO_055;atto_55.pdf;GOLD_0005;GOLD_0005.pdf;Delibere golden\GOLD_0005.pdf
GOLDEN;ATTO_056;atto_56.pdf;GOLD_0006;GOLD_0006.pdf;Delibere golden\GOLD_0006.pdf
GOLDEN;ATTO_057;atto_57.pdf;GOLD_0007;GOLD_0007.pdf;Delibere golden\GOLD_0007.pdf
GOLDEN;ATTO_058;atto_58.pdf;GOLD_0008;GOLD_0008.pdf;Delibere golden\GOLD_0008.pdf
GOLDEN;ATTO_059;atto_59.pdf;GOLD_0009;GOLD_0009.pdf;Delibere golden\GOLD_0009.pdf
GOLDEN;ATTO_060;atto_60.pdf;GOLD_0010;GOLD_0010.pdf;Delibere golden\GOLD_0010.pdf
GOLDEN;ATTO_061;atto_61.pdf;GOLD_0011;GOLD_0011.pdf;Delibere golden\GOLD_0011.pdf
GOLDEN;ATTO_062;atto_62.pdf;GOLD_0012;GOLD_0012.pdf;Delibere golden\GOLD_0012.pdf
GOLDEN;ATTO_063;ATTO_63.pdf;GOLD_0013;GOLD_0013.pdf;Delibere golden\GOLD_0013.pdf
GOLDEN;ATTO_064;atto_64.PDF;GOLD_0014;GOLD_0014.pdf;Delibere golden\GOLD_0014.pdf
GOLDEN;ATTO_065;atto_65.pdf;GOLD_0015;GOLD_0015.pdf;Delibere golden\GOLD_0015.pdf
GOLDEN;ATTO_066;atto_66.pdf;GOLD_0016;GOLD_0016.pdf;Delibere golden\GOLD_0016.pdf
GOLDEN;ATTO_067;atto_67.pdf;GOLD_0017;GOLD_0017.pdf;Delibere golden\GOLD_0017.pdf
GOLDEN;ATTO_068;atto_68.pdf;GOLD_0018;GOLD_0018.pdf;Delibere golden\GOLD_0018.pdf
GOLDEN;ATTO_069;atto_69.pdf;GOLD_0019;GOLD_0019.pdf;Delibere golden\GOLD_0019.pdf
GOLDEN;ATTO_070;atto_70.pdf;GOLD_0020;GOLD_0020.pdf;Delibere golden\GOLD_0020.pdf
GOLDEN;ATTO_071;atto_71.pdf;GOLD_0021;GOLD_0021.pdf;Delibere golden\GOLD_0021.pdf
GOLDEN;ATTO_072;atto_72.pdf;GOLD_0022;GOLD_0022.pdf;Delibere golden\GOLD_0022.pdf
GOLDEN;ATTO_073;atto_73.pdf;GOLD_0023;GOLD_0023.pdf;Delibere golden\GOLD_0023.pdf
GOLDEN;ATTO_074;atto_74.pdf;GOLD_0024;GOLD_0024.pdf;Delibere golden\GOLD_0024.pdf
GOLDEN;ATTO_075;atto_75.pdf;GOLD_0025;GOLD_0025.pdf;Delibere golden\GOLD_0025.pdf
GOLDEN;ATTO_076;atto_76.pdf;GOLD_0026;GOLD_0026.pdf;Delibere golden\GOLD_0026.pdf
GOLDEN;ATTO_077;atto_77.pdf;GOLD_0027;GOLD_0027.pdf;Delibere golden\GOLD_0027.pdf
GOLDEN;ATTO_078;atto_78.pdf;GOLD_0028;GOLD_0028.pdf;Delibere golden\GOLD_0028.pdf
GOLDEN;ATTO_079;atto_79.pdf;GOLD_0029;GOLD_0029.pdf;Delibere golden\GOLD_0029.pdf
GOLDEN;ATTO_080;atto_80.pdf;GOLD_0030;GOLD_0030.pdf;Delibere golden\GOLD_0030.pdf
GOLDEN;ATTO_081;atto_81.pdf;GOLD_0031;GOLD_0031.pdf;Delibere golden\GOLD_0031.pdf
GOLDEN;ATTO_082;atto_82.pdf;GOLD_0032;GOLD_0032.pdf;Delibere golden\GOLD_0032.pdf
GOLDEN;ATTO_083;atto_83.pdf;GOLD_0033;GOLD_0033.pdf;Delibere golden\GOLD_0033.pdf
GOLDEN;ATTO_084;atto_84.pdf;GOLD_0034;GOLD_0034.pdf;Delibere golden\GOLD_0034.pdf
GOLDEN;ATTO_085;atto_85.pdf;GOLD_0035;GOLD_0035.pdf;Delibere golden\GOLD_0035.pdf
GOLDEN;ATTO_086;atto_86.pdf;GOLD_0036;GOLD_0036.pdf;Delibere golden\GOLD_0036.pdf
GOLDEN;ATTO_087;atto_87.pdf;GOLD_0037;GOLD_0037.pdf;Delibere golden\GOLD_0037.pdf
GOLDEN;ATTO_088;atto_88.pdf;GOLD_0038;GOLD_0038.pdf;Delibere golden\GOLD_0038.pdf
GOLDEN;ATTO_089;atto_89.pdf;GOLD_0039;GOLD_0039.pdf;Delibere golden\GOLD_0039.pdf
GOLDEN;ATTO_090;atto_90.pdf;GOLD_0040;GOLD_0040.pdf;Delibere golden\GOLD_0040.pdf
GOLDEN;ATTO_091;atto_91.pdf;GOLD_0041;GOLD_0041.pdf;Delibere golden\GOLD_0041.pdf
GOLDEN;ATTO_092;atto_92.pdf;GOLD_0042;GOLD_0042.pdf;Delibere golden\GOLD_0042.pdf
GOLDEN;ATTO_093;atto_93.pdf;GOLD_0043;GOLD_0043.pdf;Delibere golden\GOLD_0043.pdf
GOLDEN;ATTO_094;atto_94.pdf;GOLD_0044;GOLD_0044.pdf;Delibere golden\GOLD_0044.pdf
GOLDEN;ATTO_095;atto_95.pdf;GOLD_0045;GOLD_0045.pdf;Delibere golden\GOLD_0045.pdf
GOLDEN;ATTO_096;atto_96.pdf;GOLD_0046;GOLD_0046.pdf;Delibere golden\GOLD_0046.pdf
GOLDEN;ATTO_097;atto_97.pdf;GOLD_0047;GOLD_0047.pdf;Delibere golden\GOLD_0047.pdf
GOLDEN;ATTO_098;atto_98.pdf;GOLD_0048;GOLD_0048.pdf;Delibere golden\GOLD_0048.pdf
GOLDEN;ATTO_099;atto_99.pdf;GOLD_0049;GOLD_0049.pdf;Delibere golden\GOLD_0049.pdf
