modello;pipeline_errore;classificatore;id_atto;file_name;golden_label;predetto;tipo_errore;len_testo_A;len_testo_B;indicatori_A;indicatori_B;snippet_A;snippet_B
gemma3_12b;A;linear_svm;0117;atto_117.pdf;Determina;Decreto;assorbito_in_decreto;989;719;sindaco, determina, determinazione, responsabile, delibera, giunta;sindaco, determina, determinazione, delibera, giunta;COMUNE DI FAVARA LIBERO CONSORZIO COMUNALE DI AGRIGENTO DETERMINAZIONE SINDACALE Numero 30 del 20-04-2026 OGGETTO: NOMINA DEI RESPONSABILI DEI SERVIZI DI STAFF IL SINDACO Del Comune, in virtù della competenza che gli deriva, ai sensi e per gli effetti dell’art. 13 della legge regionale 26 agosto 1992, n. 7, come modificato ed integrato dall’art. 41 della legge regionale 1 settembre 1993, n. 26, per tutte le materie non attribuite agli altri organi del Comune, Che con deliberazione di Giunta Comunale n. 31 del 09.04.2026, modificata con la Deliberazione di Giunta Municipale n. 34 del 14.04.2026, è stato approvato il nuovo assetto organizzativo dell’Ente e sono state istituite n. 10 Aree con p;COMUNE DI FAVARA DETERMINAZIONE SINDACALE Numero 30 del 20-04-2026 OGGETTO: NOMINA DEI RESPONSABILI DEI SERVIZI DI STAFF Il Sindaco, in base alla legge regionale e alle competenze derivanti, stabilisce la nomina dei responsabili dei servizi di staff. Tale decisione segue l'approvazione del nuovo assetto organizzativo dell’Ente tramite deliberazione di Giunta Comunale, successivamente modificata. La Deliberazione di Giunta ha istituito un numero imprecisato di posizioni. L'atto mira a definire le responsabilità all'interno della struttura comunale. Si fa riferimento alla normativa regionale per la gestione delle materie non attribuite ad altri organi. Il provvedimento è adottato in virtù dei 
gemma3_12b;A;linear_svm;0128;atto_128.pdf;AccordoSindacale;Decreto;assorbito_in_decreto;1038;633;decreto, ordina;;Prefettura Macerata Prot.Internodel17/12/2019 Numero:0073151 Classifica:48.14 1430005177098 Prefettura di Macerata Ufficio Territoriale del Governo ACCORDODICOLLABORAZIONE tra Prefettura - Ufficio Territoriale del Governo di Macerata Struttura Commissariale di Governo per la ricostruzione delle zone del terremoto del 2016 e 2017 edicomponenti del Tavolo di Monitoraggio dei Flussi di Manodopera per L'ATTIVAZIONE SPERIMENTALEDISISTEMI INFORMATICI DI RILEVAZIONE DELLE PRESENZE AUTORIZZATE NEI CANTIERI Prefettura di Macerata Ufficio Territoriale del Governo In data 16 dicembre 2019, presso gli Uffici della Prefettura - Ufficio territoriale del Governo di Macerata, sono presenti: il Prefetto di M;Prefettura di Macerata, Prot. Internodel 17/12/2019, n. 0073151. L'atto è un accordo di collaborazione tra la Prefettura - Ufficio Territoriale del Governo di Macerata e la Struttura Commissariale di Governo per la ricostruzione delle zone terremotate del 2016 e 2017. Si premette la necessità di ottimizzare il monitoraggio dei flussi di manodopera nei cantieri. L'accordo disciplina l'attivazione sperimentale di sistemi informatici per la rilevazione delle presenze autorizzate in tali cantieri. Lo scopo è migliorare l'efficienza e la trasparenza del processo di ricostruzione. La data di stipula dell’accordo è il 16 dicembre 20
gemma3_12b;A;linear_svm;0028;atto_28.pdf;Decreto;Ordinanza;decreto_non_riconosciuto;967;673;dirigente, delibera;delibera, consiglio;"CITTÀ DI IMOLA MEDAGLIA D’ORO AL VALORE MILITARE PER ATTIVITA’ PARTIGIANA Area Gestione e sviluppo del territorio Atto monocratico n. 682 del 27/05/2025 OGGETTO: AGGIORNAMENTO DELL'ALLEGATO 1 AL TOMO III DEL RUE A SEGUITO DELLA RATIFICA CON DELIBERAZIONE CONSILIARE N. 28 DEL 27/03/2025 DELLA VARIANTE AL PSC E RUE NELL'AMBITO DEL PROCEDIMENTO UNICO EX ART. 53 COMMA 1 LETTERA A) DELLA LR 24/2017 PER LA DEMOLIZIONE DI FABBRICATI ESISTENTI E LA NUOVA COSTRUZIONE DI UN EDIFICIO DESTINATO A ""CASA DEGLI EVENTI"" ALL'INTERNO DEL PERIMETRO DELL'AUTODROMO ENZO E DINO FERARRI - DITTA CON.AMI IL DIRIGENTE RICHIAMATA la deliberazione C.C. n. 28 del 27/03/2025 avente ad oggetto “Procedimento Unico art. 53 ";"CITTÀ DI IMOLA Atto monocratico n. 682 del 27/05/2025 OGGETTO: Aggiornamento dell'allegato al piano urbanistico a seguito di una variazione approvata dal consiglio comunale. La modifica riguarda un progetto per la demolizione di edifici esistenti e la costruzione di una ""Casa degli Eventi"" all’interno dell'Autodromo Enzo e Dino Ferrari, presentato dalla ditta Con.ami. Tale variazione è stata ratificata con delibera consiliare n. 28 del 27/03/2025. L'aggiornamento si inserisce in un procedimento unico per la gestione urbanistica. Il provvedimento recepisce quindi le decisioni prese a livello comunale riguardo al piano di sviluppo. Si tratta di un atto amministrativo"
gemma3_12b;A;logistic_regression;0075;atto_75.pdf;DeliberaGiunta;Decreto;assorbito_in_decreto;983;603;dirigente, responsabile, delibera, giunta;delibera, giunta;REGIONE TOSCANA UFFICI REGIONALI GIUNTA REGIONALE ESTRATTO DEL VERBALE DELLA SEDUTA DEL 28/11/2022 (punto N 28) Delibera N 1345 del 28/11/2022 Proponente LEONARDO MARRAS DIREZIONE ATTIVITA' PRODUTTIVE Pubblicità / Pubblicazione Atto pubblicato su BURT e Banca Dati (PBURT/PBD) Dirigente Responsabile Laura ACHENZA Direttore Albino CAPORALE Oggetto: Individuazione della data di inizio e della durata delle vendite di fine stagione invernale per l'anno 2023, ai sensi dell’articolo 108, comma 2, della L.R. 23 novembre 2018, n. 62 (Codice del commercio). Presenti Eugenio GIANI Stefania SACCARDI Stefano BACCELLI Simone BEZZINI Stefano CIUOFFO Leonardo MARRAS Monia MONNI Alessandra NARDINI Serena SPI;REGIONE TOSCANA Delibera n. 1345 del 28/11/2022 Oggetto: Definizione delle date per le vendite di fine stagione invernale 2023. La Giunta Regionale, in riferimento all'articolo 108 della legge regionale del 2018 che disciplina il commercio, ha deliberato sull’argomento. La decisione è stata proposta dalla Direzione Attività Produttive. Si stabilisce la data di inizio e la durata delle vendite promozionali invernali per l'anno in corso. Non sono stati allegati documenti a supporto della delibera. Il provvedimento sarà pubblicato sul Bollettino Ufficiale Regionale Toscano (BURT) e nella Banca Dati.
gemma3_12b;A;logistic_regression;0117;atto_117.pdf;Determina;Decreto;assorbito_in_decreto;989;719;sindaco, determina, determinazione, responsabile, delibera, giunta;sindaco, determina, determinazione, delibera, giunta;COMUNE DI FAVARA LIBERO CONSORZIO COMUNALE DI AGRIGENTO DETERMINAZIONE SINDACALE Numero 30 del 20-04-2026 OGGETTO: NOMINA DEI RESPONSABILI DEI SERVIZI DI STAFF IL SINDACO Del Comune, in virtù della competenza che gli deriva, ai sensi e per gli effetti dell’art. 13 della legge regionale 26 agosto 1992, n. 7, come modificato ed integrato dall’art. 41 della legge regionale 1 settembre 1993, n. 26, per tutte le materie non attribuite agli altri organi del Comune, Che con deliberazione di Giunta Comunale n. 31 del 09.04.2026, modificata con la Deliberazione di Giunta Municipale n. 34 del 14.04.2026, è stato approvato il nuovo assetto organizzativo dell’Ente e sono state istituite n. 10 Aree con p;COMUNE DI FAVARA DETERMINAZIONE SINDACALE Numero 30 del 20-04-2026 OGGETTO: NOMINA DEI RESPONSABILI DEI SERVIZI DI STAFF Il Sindaco, in base alla legge regionale e alle competenze derivanti, stabilisce la nomina dei responsabili dei servizi di staff. Tale decisione segue l'approvazione del nuovo assetto organizzativo dell’Ente tramite deliberazione di Giunta Comunale, successivamente modificata. La Deliberazione di Giunta ha istituito un numero imprecisato di posizioni. L'atto mira a definire le responsabilità all'interno della struttura comunale. Si fa riferimento alla normativa regionale per la gestione delle materie non attribuite ad altri organi. Il provvedimento è adottato in virtù dei 
gemma3_12b;A;logistic_regression;0128;atto_128.pdf;AccordoSindacale;Decreto;assorbito_in_decreto;1038;633;decreto, ordina;;Prefettura Macerata Prot.Internodel17/12/2019 Numero:0073151 Classifica:48.14 1430005177098 Prefettura di Macerata Ufficio Territoriale del Governo ACCORDODICOLLABORAZIONE tra Prefettura - Ufficio Territoriale del Governo di Macerata Struttura Commissariale di Governo per la ricostruzione delle zone del terremoto del 2016 e 2017 edicomponenti del Tavolo di Monitoraggio dei Flussi di Manodopera per L'ATTIVAZIONE SPERIMENTALEDISISTEMI INFORMATICI DI RILEVAZIONE DELLE PRESENZE AUTORIZZATE NEI CANTIERI Prefettura di Macerata Ufficio Territoriale del Governo In data 16 dicembre 2019, presso gli Uffici della Prefettura - Ufficio territoriale del Governo di Macerata, sono presenti: il Prefetto di M;Prefettura di Macerata, Prot. Internodel 17/12/2019, n. 0073151. L'atto è un accordo di collaborazione tra la Prefettura - Ufficio Territoriale del Governo di Macerata e la Struttura Commissariale di Governo per la ricostruzione delle zone terremotate del 2016 e 2017. Si premette la necessità di ottimizzare il monitoraggio dei flussi di manodopera nei cantieri. L'accordo disciplina l'attivazione sperimentale di sistemi informatici per la rilevazione delle presenze autorizzate in tali cantieri. Lo scopo è migliorare l'efficienza e la trasparenza del processo di ricostruzione. La data di stipula dell’accordo è il 16 dicembre 20
gemma3_12b;A;logistic_regression;0028;atto_28.pdf;Decreto;Ordinanza;decreto_non_riconosciuto;967;673;dirigente, delibera;delibera, consiglio;"CITTÀ DI IMOLA MEDAGLIA D’ORO AL VALORE MILITARE PER ATTIVITA’ PARTIGIANA Area Gestione e sviluppo del territorio Atto monocratico n. 682 del 27/05/2025 OGGETTO: AGGIORNAMENTO DELL'ALLEGATO 1 AL TOMO III DEL RUE A SEGUITO DELLA RATIFICA CON DELIBERAZIONE CONSILIARE N. 28 DEL 27/03/2025 DELLA VARIANTE AL PSC E RUE NELL'AMBITO DEL PROCEDIMENTO UNICO EX ART. 53 COMMA 1 LETTERA A) DELLA LR 24/2017 PER LA DEMOLIZIONE DI FABBRICATI ESISTENTI E LA NUOVA COSTRUZIONE DI UN EDIFICIO DESTINATO A ""CASA DEGLI EVENTI"" ALL'INTERNO DEL PERIMETRO DELL'AUTODROMO ENZO E DINO FERARRI - DITTA CON.AMI IL DIRIGENTE RICHIAMATA la deliberazione C.C. n. 28 del 27/03/2025 avente ad oggetto “Procedimento Unico art. 53 ";"CITTÀ DI IMOLA Atto monocratico n. 682 del 27/05/2025 OGGETTO: Aggiornamento dell'allegato al piano urbanistico a seguito di una variazione approvata dal consiglio comunale. La modifica riguarda un progetto per la demolizione di edifici esistenti e la costruzione di una ""Casa degli Eventi"" all’interno dell'Autodromo Enzo e Dino Ferrari, presentato dalla ditta Con.ami. Tale variazione è stata ratificata con delibera consiliare n. 28 del 27/03/2025. L'aggiornamento si inserisce in un procedimento unico per la gestione urbanistica. Il provvedimento recepisce quindi le decisioni prese a livello comunale riguardo al piano di sviluppo. Si tratta di un atto amministrativo"
gemma3_12b;A;naive_bayes;0040;atto_40.pdf;AccordoSindacale;Decreto;assorbito_in_decreto;961;625;delibera, giunta;giunta;"COMUNEDINAPOLI Area Risorse Umane Servizio Disciplina, Prerogative e Relazioni Sindacali Accordo per la modifica del CCDI siglato in data 29/12/2023 ed integrazione dei criteri per la definizione delle modalità di attribuzione dell'indennità per specifiche responsabilità di cui all'art.84 del CCNL 2019-2021 PREMESSO che in data 27 giugno c.a. veniva siglata l'ipotesi di accordo per la modifica del CCDI sottoscritto in data 29/12/2023, nonché l’integrazione dei criteri per la definizione delle modalità di attribuzione dell'indennità per specifiche responsabilità di cui all'art. 84 del CCNL 2019-2021; VISTA la positiva certificazione resa dal Collegio dei Revisori, ai sensi dell'art. 8, comma ";COMUNE DI NAPOLI Area Risorse Umane Accordo del 29 dicembre 2023 e integrazione criteri indennità art. 84 CCNL 2019-2021 Premesso che in data 27 giugno era stata raggiunta l'ipotesi di accordo per modificare il contratto collettivo decentrato (CCDI) e definire i criteri per un’indennità specifica, è stato verificato che tale accordo sia conforme alle normative vigenti. Il Collegio dei Revisori ha espresso parere positivo sull'operazione. L'accordo mira a chiarire le modalità di attribuzione dell'indennità prevista dall'articolo 84 del Contratto Collettivo Nazionale di Lavoro (CCNL) Funzioni Locali 2019-2021. Si tratta
gemma3_12b;A;naive_bayes;0075;atto_75.pdf;DeliberaGiunta;Decreto;assorbito_in_decreto;983;603;dirigente, responsabile, delibera, giunta;delibera, giunta;REGIONE TOSCANA UFFICI REGIONALI GIUNTA REGIONALE ESTRATTO DEL VERBALE DELLA SEDUTA DEL 28/11/2022 (punto N 28) Delibera N 1345 del 28/11/2022 Proponente LEONARDO MARRAS DIREZIONE ATTIVITA' PRODUTTIVE Pubblicità / Pubblicazione Atto pubblicato su BURT e Banca Dati (PBURT/PBD) Dirigente Responsabile Laura ACHENZA Direttore Albino CAPORALE Oggetto: Individuazione della data di inizio e della durata delle vendite di fine stagione invernale per l'anno 2023, ai sensi dell’articolo 108, comma 2, della L.R. 23 novembre 2018, n. 62 (Codice del commercio). Presenti Eugenio GIANI Stefania SACCARDI Stefano BACCELLI Simone BEZZINI Stefano CIUOFFO Leonardo MARRAS Monia MONNI Alessandra NARDINI Serena SPI;REGIONE TOSCANA Delibera n. 1345 del 28/11/2022 Oggetto: Definizione delle date per le vendite di fine stagione invernale 2023. La Giunta Regionale, in riferimento all'articolo 108 della legge regionale del 2018 che disciplina il commercio, ha deliberato sull’argomento. La decisione è stata proposta dalla Direzione Attività Produttive. Si stabilisce la data di inizio e la durata delle vendite promozionali invernali per l'anno in corso. Non sono stati allegati documenti a supporto della delibera. Il provvedimento sarà pubblicato sul Bollettino Ufficiale Regionale Toscano (BURT) e nella Banca Dati.
gemma3_12b;A;naive_bayes;0080;atto_80.pdf;Ordinanza;Decreto;assorbito_in_decreto;970;653;sindaco, ordinanza, ordina;sindaco, ordinanza, ordina;"COMUNE DI DIDO Città Metropolitana di Venezia C.A.P.30031 - Via Cairoli, 39 - 041.5121911 fax 041.410665 P.IVA 00655760270 C.F. 82001910270 AFFARI GENERALI, SEGRETERIA, PATRIMONIO E RISORSE UMANE ORDINANZA N. 78 DEL 19/05/2026 OGGETTO: VISTO l'articolo 50, comma 7, del D.Lgs. n. 267/2000 e ss.mm.ii. ai sensi del quale il Sindaco coordina e riorganizza gli orari di apertura al pubblico degli uffici localizzati nel territorio, al fine di armonizzare l'espletamento dei servizi con le esigenze complessive e generali degli utenti; CONSIDERATO che, nell'ambito della più generale riduzione della spesa pubblica, occorre adottare misure volte a contenere i costi, caratterizzate dalla riduzione dell'a";COMUNE DI IDOLO, Città Metropolitana di Venezia ORDINANZA N. 78 del 19/05/2026 OGGETTO: Orari di apertura al pubblico degli uffici comunali VISTO l'articolo 50 del D.Lgs. n. 267/2000, che attribuisce al Sindaco la responsabilità di coordinare gli orari di apertura degli uffici pubblici. CONSIDERATO il bisogno di ridurre la spesa pubblica attraverso una diminuzione dell'accesso ai servizi comunali. DATO ATTO della necessità di adeguamento degli orari per armonizzare i servizi con le esigenze degli utenti. DISPONE che verranno riorganizzati gli orari di apertura al pubblico degli uffici comunali, in linea con la riduzione della spesa pubblica e l'
