;precision;recall;f1-score;support
AccordoSindacale;1.0;0.875;0.9333333333333333;16.0
Decreto;0.7777777777777778;0.875;0.8235294117647058;16.0
DeliberaConsiglio;1.0;1.0;1.0;16.0
DeliberaGiunta;0.9375;0.9375;0.9375;16.0
Determina;1.0;0.9375;0.967741935483871;16.0
Ordinanza;0.8823529411764706;0.9375;0.9090909090909091;16.0
Regolamento;1.0;0.8125;0.896551724137931;16.0
Statuto;0.8421052631578947;1.0;0.9142857142857143;16.0
accuracy;0.921875;0.921875;0.921875;0.921875
macro avg;0.9299669977640179;0.921875;0.9227541285120581;128.0
weighted avg;0.9299669977640179;0.921875;0.9227541285120581;128.0
