;precision;recall;f1-score;support
AccordoSindacale;1.0;1.0;1.0;16.0
Decreto;0.8235294117647058;0.875;0.8484848484848485;16.0
DeliberaConsiglio;0.7777777777777778;0.875;0.8235294117647058;16.0
DeliberaGiunta;0.8823529411764706;0.9375;0.9090909090909091;16.0
Determina;1.0;0.875;0.9333333333333333;16.0
Ordinanza;1.0;0.9375;0.967741935483871;16.0
Regolamento;1.0;0.9375;0.967741935483871;16.0
Statuto;1.0;1.0;1.0;16.0
accuracy;0.9296875;0.9296875;0.9296875;0.9296875
macro avg;0.9354575163398693;0.9296875;0.9312402967051924;128.0
weighted avg;0.9354575163398693;0.9296875;0.9312402967051924;128.0
