;precision;recall;f1-score;support
AccordoSindacale;1.0;0.9375;0.967741935483871;16.0
Decreto;0.8125;0.8125;0.8125;16.0
DeliberaConsiglio;0.8235294117647058;0.875;0.8484848484848485;16.0
DeliberaGiunta;0.9333333333333333;0.875;0.9032258064516129;16.0
Determina;1.0;0.8125;0.896551724137931;16.0
Ordinanza;1.0;0.9375;0.967741935483871;16.0
Regolamento;0.8421052631578947;1.0;0.9142857142857143;16.0
Statuto;0.8888888888888888;1.0;0.9411764705882353;16.0
accuracy;0.90625;0.90625;0.90625;0.90625
macro avg;0.9125446121431029;0.90625;0.9064635543645105;128.0
weighted avg;0.9125446121431029;0.90625;0.9064635543645105;128.0
