id_atto;file_name;pdf_path_locale;pdf_link;txt_path_locale;txt_link;testo_llm_path_locale;testo_llm_link;ocr;errore_tecnico;fallback_locale;modello;input_tokens;output_tokens;total_tokens;costo_input;costo_output;costo_totale;avg_input_tokens_per_chunk;avg_output_tokens_per_chunk;avg_total_tokens_per_chunk;num_chunk_llm;timestamp
0001;atto_1.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Input\atto_1.pdf;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Input/atto_1.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_4b_pipeline_A\txt_opendataloader\atto_1.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_4b_pipeline_A/txt_opendataloader/atto_1.txt;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_4b_pipeline_A\testi_completi_llm\0001_atto_1_testo_completo_llm.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_4b_pipeline_A/testi_completi_llm/0001_atto_1_testo_completo_llm.txt;0;;0;gemma3:4b;641;256;897;0.0;0.0;0.0;641.0;256.0;897.0;1;2026-06-08 13:44:26
0002;atto_2 .pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Input\atto_2 .pdf;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Input/atto_2%20.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_4b_pipeline_A\txt_opendataloader_ocr\atto_2 _rapidocr.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_4b_pipeline_A/txt_opendataloader_ocr/atto_2%20_rapidocr.txt;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_4b_pipeline_A\testi_completi_llm\0002_atto_2__testo_completo_llm.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_4b_pipeline_A/testi_completi_llm/0002_atto_2__testo_completo_llm.txt;1;;0;gemma3:4b;630;202;832;0.0;0.0;0.0;630.0;202.0;832.0;1;2026-06-08 13:45:19
0003;atto_3.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Input\atto_3.pdf;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Input/atto_3.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_4b_pipeline_A\txt_opendataloader\atto_3.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_4b_pipeline_A/txt_opendataloader/atto_3.txt;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_4b_pipeline_A\testi_completi_llm\0003_atto_3_testo_completo_llm.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_4b_pipeline_A/testi_completi_llm/0003_atto_3_testo_completo_llm.txt;0;;0;gemma3:4b;699;323;1022;0.0;0.0;0.0;699.0;323.0;1022.0;1;2026-06-08 13:45:58
0004;atto_4.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Input\atto_4.pdf;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Input/atto_4.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_4b_pipeline_A\txt_opendataloader\atto_4_head_7_tail_7_pagine.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_4b_pipeline_A/txt_opendataloader/atto_4_head_7_tail_7_pagine.txt;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_4b_pipeline_A\testi_completi_llm\0004_atto_4_testo_completo_llm.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_4b_pipeline_A/testi_completi_llm/0004_atto_4_testo_completo_llm.txt;0;;0;gemma3:4b;695;282;977;0.0;0.0;0.0;695.0;282.0;977.0;1;2026-06-08 13:46:33
0005;atto_5.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Input\atto_5.pdf;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Input/atto_5.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_4b_pipeline_A\txt_opendataloader\atto_5.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_4b_pipeline_A/txt_opendataloader/atto_5.txt;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_4b_pipeline_A\testi_completi_llm\0005_atto_5_testo_completo_llm.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_4b_pipeline_A/testi_completi_llm/0005_atto_5_testo_completo_llm.txt;0;;0;gemma3:4b;689;185;874;0.0;0.0;0.0;689.0;185.0;874.0;1;2026-06-08 13:46:56
0006;atto_6.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Input\atto_6.pdf;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Input/atto_6.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_4b_pipeline_A\txt_opendataloader\atto_6.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_4b_pipeline_A/txt_opendataloader/atto_6.txt;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_4b_pipeline_A\testi_completi_llm\0006_atto_6_testo_completo_llm.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_4b_pipeline_A/testi_completi_llm/0006_atto_6_testo_completo_llm.txt;0;;0;gemma3:4b;700;266;966;0.0;0.0;0.0;700.0;266.0;966.0;1;2026-06-08 13:47:29
0007;atto_7.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Input\atto_7.pdf;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Input/atto_7.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_4b_pipeline_A\txt_opendataloader_ocr\atto_7_rapidocr.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_4b_pipeline_A/txt_opendataloader_ocr/atto_7_rapidocr.txt;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_4b_pipeline_A\testi_completi_llm\0007_atto_7_testo_completo_llm.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_4b_pipeline_A/testi_completi_llm/0007_atto_7_testo_completo_llm.txt;1;;0;gemma3:4b;706;296;1002;0.0;0.0;0.0;706.0;296.0;1002.0;1;2026-06-08 13:48:16
0008;atto_8.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Input\atto_8.pdf;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Input/atto_8.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_4b_pipeline_A\txt_opendataloader_ocr\atto_8_rapidocr.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_4b_pipeline_A/txt_opendataloader_ocr/atto_8_rapidocr.txt;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_4b_pipeline_A\testi_completi_llm\0008_atto_8_testo_completo_llm.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_4b_pipeline_A/testi_completi_llm/0008_atto_8_testo_completo_llm.txt;1;;0;gemma3:4b;711;321;1032;0.0;0.0;0.0;711.0;321.0;1032.0;1;2026-06-08 13:49:04
0009;atto_9.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Input\atto_9.pdf;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Input/atto_9.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_4b_pipeline_A\txt_opendataloader\atto_9.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_4b_pipeline_A/txt_opendataloader/atto_9.txt;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_4b_pipeline_A\testi_completi_llm\0009_atto_9_testo_completo_llm.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_4b_pipeline_A/testi_completi_llm/0009_atto_9_testo_completo_llm.txt;0;;0;gemma3:4b;615;94;709;0.0;0.0;0.0;615.0;94.0;709.0;1;2026-06-08 13:49:17
0010;atto_10.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Input\atto_10.pdf;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Input/atto_10.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_4b_pipeline_A\txt_opendataloader_ocr\atto_10_rapidocr.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_4b_pipeline_A/txt_opendataloader_ocr/atto_10_rapidocr.txt;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_4b_pipeline_A\testi_completi_llm\0010_atto_10_testo_completo_llm.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_4b_pipeline_A/testi_completi_llm/0010_atto_10_testo_completo_llm.txt;1;;0;gemma3:4b;782;350;1132;0.0;0.0;0.0;782.0;350.0;1132.0;1;2026-06-08 13:50:31
0011;atto_11.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Input\atto_11.pdf;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Input/atto_11.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_4b_pipeline_A\txt_opendataloader_ocr\atto_11_rapidocr.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_4b_pipeline_A/txt_opendataloader_ocr/atto_11_rapidocr.txt;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_4b_pipeline_A\testi_completi_llm\0011_atto_11_testo_completo_llm.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_4b_pipeline_A/testi_completi_llm/0011_atto_11_testo_completo_llm.txt;1;;0;gemma3:4b;730;342;1072;0.0;0.0;0.0;730.0;342.0;1072.0;1;2026-06-08 13:51:45
0012;atto_12.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Input\atto_12.pdf;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Input/atto_12.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_4b_pipeline_A\txt_opendataloader_ocr\atto_12_rapidocr.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_4b_pipeline_A/txt_opendataloader_ocr/atto_12_rapidocr.txt;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_4b_pipeline_A\testi_completi_llm\0012_atto_12_testo_completo_llm.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_4b_pipeline_A/testi_completi_llm/0012_atto_12_testo_completo_llm.txt;1;;0;gemma3:4b;711;289;1000;0.0;0.0;0.0;711.0;289.0;1000.0;1;2026-06-08 13:52:39
0013;atto_13.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Input\atto_13.pdf;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Input/atto_13.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_4b_pipeline_A\txt_opendataloader\atto_13.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_4b_pipeline_A/txt_opendataloader/atto_13.txt;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_4b_pipeline_A\testi_completi_llm\0013_atto_13_testo_completo_llm.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_4b_pipeline_A/testi_completi_llm/0013_atto_13_testo_completo_llm.txt;0;;0;gemma3:4b;639;199;838;0.0;0.0;0.0;639.0;199.0;838.0;1;2026-06-08 13:53:05
0014;atto_14.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Input\atto_14.pdf;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Input/atto_14.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_4b_pipeline_A\txt_opendataloader\atto_14.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_4b_pipeline_A/txt_opendataloader/atto_14.txt;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_4b_pipeline_A\testi_completi_llm\0014_atto_14_testo_completo_llm.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_4b_pipeline_A/testi_completi_llm/0014_atto_14_testo_completo_llm.txt;0;;0;gemma3:4b;635;205;840;0.0;0.0;0.0;635.0;205.0;840.0;1;2026-06-08 13:53:31
0015;atto_15.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Input\atto_15.pdf;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Input/atto_15.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_4b_pipeline_A\txt_opendataloader\atto_15.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_4b_pipeline_A/txt_opendataloader/atto_15.txt;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_4b_pipeline_A\testi_completi_llm\0015_atto_15_testo_completo_llm.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_4b_pipeline_A/testi_completi_llm/0015_atto_15_testo_completo_llm.txt;0;;0;gemma3:4b;664;225;889;0.0;0.0;0.0;664.0;225.0;889.0;1;2026-06-08 13:54:00
0016;atto_16.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Input\atto_16.pdf;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Input/atto_16.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_4b_pipeline_A\txt_opendataloader\atto_16.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_4b_pipeline_A/txt_opendataloader/atto_16.txt;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_4b_pipeline_A\testi_completi_llm\0016_atto_16_testo_completo_llm.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_4b_pipeline_A/testi_completi_llm/0016_atto_16_testo_completo_llm.txt;0;;0;gemma3:4b;645;238;883;0.0;0.0;0.0;645.0;238.0;883.0;1;2026-06-08 13:54:29
0017;atto_17.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Input\atto_17.pdf;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Input/atto_17.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_4b_pipeline_A\txt_opendataloader\atto_17.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_4b_pipeline_A/txt_opendataloader/atto_17.txt;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_4b_pipeline_A\testi_completi_llm\0017_atto_17_testo_completo_llm.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_4b_pipeline_A/testi_completi_llm/0017_atto_17_testo_completo_llm.txt;0;;0;gemma3:4b;671;218;889;0.0;0.0;0.0;671.0;218.0;889.0;1;2026-06-08 13:54:58
