;precision;recall;f1-score;support
AccordoSindacale;0.9411764705882353;1.0;0.9696969696969697;16.0
Decreto;0.9375;0.9375;0.9375;16.0
DeliberaConsiglio;1.0;1.0;1.0;16.0
DeliberaGiunta;1.0;0.9375;0.967741935483871;16.0
Determina;1.0;0.9375;0.967741935483871;16.0
Ordinanza;0.8888888888888888;1.0;0.9411764705882353;16.0
Regolamento;1.0;0.9375;0.967741935483871;16.0
Statuto;1.0;1.0;1.0;16.0
accuracy;0.96875;0.96875;0.96875;0.96875
macro avg;0.9709456699346406;0.96875;0.9689499058421023;128.0
weighted avg;0.9709456699346406;0.96875;0.9689499058421023;128.0
