Processo verbale delle deliberazioni del Consiglio Comunale
Seduta del 21/05/2026 – delibera n. 34
OGGETTO: MOZIONE DEI GRUPPI CONSILIARI FONDAMENTA-ALLEANZA VERDI E SINISTRA E PARTITO DEMOCRATICO PER LA PROMOZIONE DELLA GIUSTIZIA SOCIALE, DELL’EQUITÀ NELL’ACCESSO AI PRODOTTI IGIENICI E L’ATTIVAZIONE DI UN SISTEMA COMUNALE INTEGRATO “TAMPON BOX CESENA”.
L'anno (2026), il mese di Maggio, il giorno ventuno, si è adunato il Consiglio Comunale, in seduta pubblica di prima convocazione, previo avviso scritto notificato in tempo utile ai consiglieri.
Presiede il cons. Filippo Rossi - Presidente del Consiglio Comunale Assiste il Segretario Generale Marco Mordenti
Risultano presenti i Consiglieri:
LATTUCA ENZO
MONTI FEDERICA
BERTI PIERO
PARISE DENIS
BIGUZZI FRANCESCO
PELLIGRINI NICHOLAS
BONDANINI LARA
PEZZI FABIO
CASALI MARCO
PIRACCINI IVAN
CASTAGNOLI ENRICO
ROSSI FRANCESCO
CENSI DAMIANO
ROSSI FILIPPO
