id_atto;file_name;pdf_path_locale;pdf_link;txt_path_locale;txt_link;testo_llm_path_locale;testo_llm_link;ocr;errore_tecnico;fallback_locale;modello;input_tokens;output_tokens;total_tokens;costo_input;costo_output;costo_totale;avg_input_tokens_per_chunk;avg_output_tokens_per_chunk;avg_total_tokens_per_chunk;num_chunk_llm;timestamp
0001;atto_1.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Input\atto_1.pdf;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Input/atto_1.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\llama3_1_8b_pipeline_A\txt_opendataloader\atto_1.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/llama3_1_8b_pipeline_A/txt_opendataloader/atto_1.txt;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\llama3_1_8b_pipeline_A\testi_completi_llm\0001_atto_1_testo_completo_llm.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/llama3_1_8b_pipeline_A/testi_completi_llm/0001_atto_1_testo_completo_llm.txt;0;;0;llama3.1:8b;700;271;971;0.0;0.0;0.0;700.0;271.0;971.0;1;2026-06-08 23:09:05
0002;atto_2 .pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Input\atto_2 .pdf;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Input/atto_2%20.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\llama3_1_8b_pipeline_A\txt_opendataloader_ocr\atto_2 _rapidocr.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/llama3_1_8b_pipeline_A/txt_opendataloader_ocr/atto_2%20_rapidocr.txt;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\llama3_1_8b_pipeline_A\testi_completi_llm\0002_atto_2__testo_completo_llm.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/llama3_1_8b_pipeline_A/testi_completi_llm/0002_atto_2__testo_completo_llm.txt;1;;0;llama3.1:8b;707;241;948;0.0;0.0;0.0;707.0;241.0;948.0;1;2026-06-08 23:10:13
0003;atto_3.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Input\atto_3.pdf;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Input/atto_3.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\llama3_1_8b_pipeline_A\txt_opendataloader\atto_3.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/llama3_1_8b_pipeline_A/txt_opendataloader/atto_3.txt;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\llama3_1_8b_pipeline_A\testi_completi_llm\0003_atto_3_testo_completo_llm.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/llama3_1_8b_pipeline_A/testi_completi_llm/0003_atto_3_testo_completo_llm.txt;0;;0;llama3.1:8b;754;339;1093;0.0;0.0;0.0;754.0;339.0;1093.0;1;2026-06-08 23:11:06
0004;atto_4.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Input\atto_4.pdf;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Input/atto_4.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\llama3_1_8b_pipeline_A\txt_opendataloader\atto_4_head_7_tail_7_pagine.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/llama3_1_8b_pipeline_A/txt_opendataloader/atto_4_head_7_tail_7_pagine.txt;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\llama3_1_8b_pipeline_A\testi_completi_llm\0004_atto_4_testo_completo_llm.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/llama3_1_8b_pipeline_A/testi_completi_llm/0004_atto_4_testo_completo_llm.txt;0;;0;llama3.1:8b;759;258;1017;0.0;0.0;0.0;759.0;258.0;1017.0;1;2026-06-08 23:11:48
0005;atto_5.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Input\atto_5.pdf;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Input/atto_5.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\llama3_1_8b_pipeline_A\txt_opendataloader\atto_5.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/llama3_1_8b_pipeline_A/txt_opendataloader/atto_5.txt;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\llama3_1_8b_pipeline_A\testi_completi_llm\0005_atto_5_testo_completo_llm.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/llama3_1_8b_pipeline_A/testi_completi_llm/0005_atto_5_testo_completo_llm.txt;0;;0;llama3.1:8b;760;293;1053;0.0;0.0;0.0;760.0;293.0;1053.0;1;2026-06-08 23:12:35
0006;atto_6.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Input\atto_6.pdf;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Input/atto_6.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\llama3_1_8b_pipeline_A\txt_opendataloader\atto_6.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/llama3_1_8b_pipeline_A/txt_opendataloader/atto_6.txt;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\llama3_1_8b_pipeline_A\testi_completi_llm\0006_atto_6_testo_completo_llm.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/llama3_1_8b_pipeline_A/testi_completi_llm/0006_atto_6_testo_completo_llm.txt;0;;0;llama3.1:8b;769;350;1119;0.0;0.0;0.0;769.0;350.0;1119.0;1;2026-06-08 23:13:36
0007;atto_7.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Input\atto_7.pdf;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Input/atto_7.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\llama3_1_8b_pipeline_A\txt_opendataloader_ocr\atto_7_rapidocr.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/llama3_1_8b_pipeline_A/txt_opendataloader_ocr/atto_7_rapidocr.txt;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\llama3_1_8b_pipeline_A\testi_completi_llm\0007_atto_7_testo_completo_llm.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/llama3_1_8b_pipeline_A/testi_completi_llm/0007_atto_7_testo_completo_llm.txt;1;;0;llama3.1:8b;743;313;1056;0.0;0.0;0.0;743.0;313.0;1056.0;1;2026-06-08 23:14:39
0008;atto_8.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Input\atto_8.pdf;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Input/atto_8.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\llama3_1_8b_pipeline_A\txt_opendataloader_ocr\atto_8_rapidocr.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/llama3_1_8b_pipeline_A/txt_opendataloader_ocr/atto_8_rapidocr.txt;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\llama3_1_8b_pipeline_A\testi_completi_llm\0008_atto_8_testo_completo_llm.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/llama3_1_8b_pipeline_A/testi_completi_llm/0008_atto_8_testo_completo_llm.txt;1;;0;llama3.1:8b;743;296;1039;0.0;0.0;0.0;743.0;296.0;1039.0;1;2026-06-08 23:15:40
0009;atto_9.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Input\atto_9.pdf;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Input/atto_9.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\llama3_1_8b_pipeline_A\txt_opendataloader\atto_9.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/llama3_1_8b_pipeline_A/txt_opendataloader/atto_9.txt;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\llama3_1_8b_pipeline_A\testi_completi_llm\0009_atto_9_testo_completo_llm.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/llama3_1_8b_pipeline_A/testi_completi_llm/0009_atto_9_testo_completo_llm.txt;0;;0;llama3.1:8b;671;221;892;0.0;0.0;0.0;671.0;221.0;892.0;1;2026-06-08 23:16:16
0010;atto_10.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Input\atto_10.pdf;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Input/atto_10.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\llama3_1_8b_pipeline_A\txt_opendataloader_ocr\atto_10_rapidocr.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/llama3_1_8b_pipeline_A/txt_opendataloader_ocr/atto_10_rapidocr.txt;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\llama3_1_8b_pipeline_A\testi_completi_llm\0010_atto_10_testo_completo_llm.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/llama3_1_8b_pipeline_A/testi_completi_llm/0010_atto_10_testo_completo_llm.txt;1;;0;llama3.1:8b;792;350;1142;0.0;0.0;0.0;792.0;350.0;1142.0;1;2026-06-08 23:17:55
