modello;pipeline;classificatore;classe_reale_assorbita_in_decreto;conteggio
gemma3_4b;A;naive_bayes;Ordinanza;2
gemma3_4b;A;naive_bayes;AccordoSindacale;1
gemma3_4b;A;naive_bayes;DeliberaGiunta;1
gemma3_4b;A;naive_bayes;Determina;1
gemma3_4b;A;logistic_regression;Determina;1
gemma3_4b;A;linear_svm;Determina;1
gemma3_4b;B;naive_bayes;Ordinanza;1
gemma3_4b;B;naive_bayes;Determina;1
gemma3_4b;B;logistic_regression;Ordinanza;1
gemma3_4b;B;logistic_regression;Determina;1
gemma3_4b;B;linear_svm;Ordinanza;1
gemma3_4b;B;linear_svm;Determina;1
llama3_1_8b;A;naive_bayes;Ordinanza;1
llama3_1_8b;A;naive_bayes;DeliberaGiunta;1
llama3_1_8b;A;naive_bayes;Determina;1
llama3_1_8b;A;logistic_regression;Determina;1
llama3_1_8b;A;logistic_regression;AccordoSindacale;1
llama3_1_8b;A;linear_svm;Determina;1
llama3_1_8b;A;linear_svm;AccordoSindacale;1
llama3_1_8b;B;naive_bayes;Ordinanza;2
llama3_1_8b;B;naive_bayes;Determina;1
llama3_1_8b;B;logistic_regression;DeliberaGiunta;1
llama3_1_8b;B;logistic_regression;Ordinanza;1
llama3_1_8b;B;logistic_regression;Determina;1
llama3_1_8b;B;linear_svm;DeliberaGiunta;1
llama3_1_8b;B;linear_svm;Ordinanza;1
llama3_1_8b;B;linear_svm;Determina;1
gemma3_12b;A;naive_bayes;AccordoSindacale;1
gemma3_12b;A;naive_bayes;DeliberaGiunta;1
gemma3_12b;A;naive_bayes;Ordinanza;1
gemma3_12b;A;naive_bayes;Determina;1
gemma3_12b;A;logistic_regression;DeliberaGiunta;1
gemma3_12b;A;logistic_regression;Determina;1
gemma3_12b;A;logistic_regression;AccordoSindacale;1
gemma3_12b;A;linear_svm;Determina;1
gemma3_12b;A;linear_svm;AccordoSindacale;1
gemma3_12b;B;naive_bayes;Determina;2
gemma3_12b;B;naive_bayes;Ordinanza;1
gemma3_12b;B;logistic_regression;Determina;2
gemma3_12b;B;logistic_regression;Ordinanza;1
gemma3_12b;B;linear_svm;Determina;2
gemma3_12b;B;linear_svm;Ordinanza;1
