modello;pipeline;classificatore;decreti_non_riconosciuti;altri_atti_classificati_come_decreto;totale_errori_legati_a_decreto
gemma3_4b;A;naive_bayes;3;5;8
gemma3_4b;A;logistic_regression;1;1;2
gemma3_4b;A;linear_svm;1;1;2
gemma3_4b;B;naive_bayes;2;2;4
gemma3_4b;B;logistic_regression;1;2;3
gemma3_4b;B;linear_svm;1;2;3
llama3_1_8b;A;naive_bayes;2;3;5
llama3_1_8b;A;logistic_regression;1;2;3
llama3_1_8b;A;linear_svm;1;2;3
llama3_1_8b;B;naive_bayes;5;3;8
llama3_1_8b;B;logistic_regression;3;3;6
llama3_1_8b;B;linear_svm;3;3;6
gemma3_12b;A;naive_bayes;2;4;6
gemma3_12b;A;logistic_regression;1;3;4
gemma3_12b;A;linear_svm;1;2;3
gemma3_12b;B;naive_bayes;3;3;6
gemma3_12b;B;logistic_regression;2;3;5
gemma3_12b;B;linear_svm;3;3;6
