;precision;recall;f1-score;support
AccordoSindacale;1.0;0.8;0.8888888888888888;5.0
Decreto;1.0;0.4;0.5714285714285714;5.0
DeliberaConsiglio;1.0;1.0;1.0;5.0
DeliberaGiunta;0.8333333333333334;1.0;0.9090909090909091;5.0
Determina;0.8;0.8;0.8;5.0
Ordinanza;0.8;0.8;0.8;5.0
Regolamento;0.625;1.0;0.7692307692307693;5.0
Statuto;1.0;1.0;1.0;5.0
accuracy;0.85;0.85;0.85;0.85
macro avg;0.8822916666666667;0.8500000000000001;0.8423298923298923;40.0
weighted avg;0.8822916666666668;0.85;0.8423298923298923;40.0
