id_atto;file_name;ocr;testo_completo_llm;golden_label
0002;atto_2 .pdf;1;"CITTA DI LECCE DecretoSindacale N.7 Data di registrazione: 31/03/2026 OGGETTO: NOMINARE DEL ""RESPONSABILE DELLA PROTEZIONE DEI DATI - D.P.O."" IL SINDACO Premesso che: 2016 relativo alla ""Protezione delle persone fisiche con riguardo al trattamento dei dati personali, nonché alla libera circolazione di tali dati"", c.d. GDPR ""General Data Protection Regulation"", per garantire l'adeguamento alla rinnovata disciplina; Tra le novità introdotte dal GDPR, si richiamano: l'adozione di politiche che tengano in considerazione il rischio costante che un determinato trattamento di dati personali può comportare per i diritti e le libertà degli interessati.";Decreto
0004;atto_4.pdf;0;"Gittà di Trani Deliberazione di Giunta Comunale Oggetto: Approvazione della revisione manuale di gestione del Protocollo Informatico, dei flussi documentali e degli Archivi. N. 9 del Reg. Data: 20 gennaio 2017 L'anno Duemiladiciassette , il giorno venti del mese di gennaio, alle ore ...llff...9:...., nell' aula delle udienze del Comune di Trani, appositamente convocata, la Giunta Comunale si è riunita nelle persone dei seguenti Assessori: BOTTARO Av. Amedeo Sindaco; BOLOGNA Ing. Raffaella Assessore; CAPONE Arch. Giovanni Assessore; CILIENTO Dott.ssa Debora Assessore; D'AGOSTINO Dott.";DeliberaGiunta
0009;atto_9.pdf;0;COMUNE DI FIRENZE PROVEDIMENTO DIRIGENZIALE Numero: 2009/DD/00016 Del : 16/01/2009 Esecutivo da: 16/01/2009 Proponenti: Direzione Istruzione Servizio Scuola, Orientamento, ITI, Formazione professionale, Educazione permanente OGGETTO: CORSI SERALI COMUNALI E FORMAT - Liquidazione delle attività aggiuntive di insegnamento e non di insegnamento.;Determina
0016;atto_16.pdf;0;Città di Campobasso Deliberazione della Giunta Comunale Deliberazione N. 100 Oggetto: Installazione luminarie decorative al centro storico. Determinazioni. L’anno duemilaventisei, il giorno ventinove del mese di aprile alle ore 12:50 a Campobasso, nella Sede Comunale. A seguito della convocazione disposta dalla Sindaca Marialuisa Forte si è riunita la Giunta Comunale nelle persone dei Signori: Forte Marialuisa Sindaca Chierchia Bibiana Assessore Cretella Simone Assessore Maio Mimmo Assessore Trivisonno Giuseppe Vice Sindaco Fraracci Adele Assessore Marcheggiani Angelo Assessore;DeliberaGiunta
0017;atto_17.pdf;0;"Città di Campobasso Deliberazione della Giunta Comunale Deliberazione N. 102 Oggetto: Modifica del Disciplinare Attuativo per i Servizi di Assistenza Socio-Sanitaria in favore delle persone in condizione di fragilità economica e sociale, nell'ambito del progetto ""Ambulatorio Solidale"". L’anno duemilaventisei il giorno ventinove del mese di aprile alle ore 12:50 a Campobasso, nella Sede Comunale. A seguito della convocazione disposta dalla Sindaca Marialuisa Forte si è riunita la Giunta Comunale nelle persone dei Signori: Forte Marialuisa Sindaca Chierchia Bibiana Assessore Cretella Simone Assessore Maio Mimmo Assessore Trivisonno Giuseppe Vice Sind";DeliberaGiunta
0020;atto_20.pdf;0;"CITTÀ DI IMOLA MEDAGLIA D’ORO AL VALORE MILITARE PER ATTIVITA’ PARTIGIANA DETERMINAZIONE DIRIGENZIALE Area Servizi alla persona N. 122 DEL 16/02/2026 OGGETTO: AREA SERVIZI ALLA PERSONA – AMMISSIONE E ASSEGNAZIONE CONTRIBUTI E VANTAGGI ECONOMICI A SOSTEGNO DI INIZIATIVE/ATTIVITA’ REALIZZATE DA ENTI O ASSOCIAZIONI – ANNO 2026 I L D I R I G E N T E PREMESSO che: CONSIDERATO le modalità di erogazione e i criteri di assegnazione definiti dal Regolamento; VISTO l’Avviso Pubblico";Determina
0030;atto_30.pdf;0;COMUNE DI FIRENZE PROVEDIMENTO DIRIGENZIALE Numero: 2007/DD/00037 Del : 02/02/2007 Esecutivo da: 12/02/2007 OGGETTO: Lavori di manutenzione ordinaria per riparazioni agli impianti idraulici, sanitari ed antincendio della scuola primaria e dell'infanzia Marconi via Mayer 5. Impegno di spesa a favore della ditta Termotecnica Picchiarini s.a.s. IL DIRETTORE Premesso che: Ritenuto, pertanto, di affidare i lavori di cui trattasi, tramite cottimo fiduciario, alla ditta Termotecnica Picchiarini in quanto ditta di fiducia dell’Amministrazione Comunale;Determina
0031;atto_31.pdf;0;COMUNE DI FIRENZE PROVEDIMENTO DIRIGENZIALE Numero: 2007/DD/00024 Del : 18/01/2007 Esecutivo da: 19/01/2007 OGGETTO: Interventi di recupero edilizio e ristrutturazione per adeguarli alle norme di sicurezza antincendio e di igiene, con abbattimento barriere architettoniche, Scuola materna Varlungo Dionisi. Impegno di spesa a favore della ditta S.E.F. SOCIETA' EDILE FIORENTINA S.R.L. IL DIRIGENTE Premesso: Visto l’allegato verbale di aggiudicazione in data 09.11.06 rep.;Determina
0037;atto_37.pdf;1;N.412 CITTÀ DI TORINO SERVIZIO CENTRALE CONSIGLIO COMUNALE RACCOLTA DEI REGOLAMENTI MUNICIPALI REGOLAMENTO PER LA DISCIPOLINA DELLA VIDEOSORVEGLIANZA SUL TERRITORIO DEL COMUNE DI TORINO Approvato con deliberazione del Consiglio Comunale in data 17 dicembre 2024 (DEL 806/2024 e allegato), IE – esecutivo dal 31 dicembre 2024. INDICE CAPO I - DISPOSIZIONI GENERALI Articolo 1 - Oggetto. Articolo 2 - Finalità e base giuridica Articolo 3 - Definizioni Articolo 4 - Principi applicabili al trattamento dei;Regolamento
0038;atto_38.pdf;0;Il giorno 29 dicembre 2023 nella sala Pignatiello, in Palazzo San Giacomo, previa regolare convocazione, viene sottoscritto il presente accordo sulla ripartizione delle risorse decentrate del Fondo 2023. Premessa La costituzione del fondo 2023 è avvenuta con la deliberazione di G.C. n. 498 del 14 dicembre 2023 con la quale, ai sensi del CCNL 2019/2021 Funzioni locali, sono state quantificate le risorse complessive del fondo salario accessorio per il personale del comparto e, sulla base delle direttive e delle indicazioni fornite alla contrattazione, fissato l’importo a disposizione per il confronto tra la Parte Pubblica;AccordoSindacale
0040;atto_40.pdf;1;COMUNEDINAPOLI Area Risorse Umane ServizioDisciplina,PrerogativeeRelazioniSindacali Accordo per la modifica del CCDI siglato in data 29/12/2023 ed integrazione dei criteri per la definizione dellemodalita di attribuzione dell'indennitaper specifiche responsabilita di cui all'art.84del CCNL 2019-2021 PREMESSO che in data 27 giugno c.a. veniva siglata l'ipotesi di accordo per la modifica del CCDI sottoscritto in data 29/12/2023, nonché lintegrazione dei criteri per la definizione delle modalita di attribuzione dell'indennita per specifiche responsabilita di cui all'art. 84 del CCN;AccordoSindacale
0044;atto_44.pdf;0;Comune di Afragola STATUTO TITOLO I DISPOSIZIONI GENERALI CAPO I Principi Generali CAPO II Attività Normativa – giuridicamente comprovata dal possesso della laurea in materie economico-giuridiche o equipollenti. 1. Le modalità per la raccolta e la verifica delle firme e per l'indizione e lo svolgimento del referendum sono stabilite dal Regolamento. 1. Le Consulte possono avanzare proposte, petizioni, istanze all’Amministrazione comunale anche attraverso il comitato.;Statuto
0047;atto_47.pdf;1;"COMUNE DIPOZZUOLI PROVINCIADINAPOLI Delibera N. 221 degli impianti sportivi - delibera di G.C. n. 163 Del 30/11/2016; L'anno duemilasedici, il giorno ventisette del mese di Dicembre, nella Casa Comunale, e precisamente nella sala delle adunanze municipali, si é riunito il Consiglio Comunale in seduta Pubblica. Premesso che a ciascun Consigliere e stato notificato l'avviso di convocazione pubblicato all'Albo Pretorio del Comune, risulta che dei seguenti Consiglieri in carica: FIGLIOLIA Vincenzo-SINDACO LUONGO Michelangelo";DeliberaConsiglio
0048;atto_48.pdf;0;CITTA’ DI PORTO RECANATI Provincia di Macerata Registro Generale n. 48 ORDINANZA POLIZIA MUNICIPALE N. 48 DEL 26-05-2026 Oggetto: PROVVEDIMENTI TEMPORANEI DI MODIFICA ALLA VIABILITÀ, INTERDIZIONE ALLA CIRCOLAZIONE E DIVIETO DI SOSTA CON RIMOZIONE FORZATA IN CORSO MATTEOTTI PER LO SVOLGIMENTO DELLA MANIFESTAZIONE “IL PORTO DEI BAMBINI” DEL 31 MAGGIO 2026 VISTA la deliberazione della Giunta Comunale n. 97 del 18/05/2026, con cui è stato concesso il patrocinio oneroso alla;Ordinanza
