id_atto;file_name;pdf_path_locale;pdf_link;txt_path_locale;txt_link;testo_llm_path_locale;testo_llm_link;ocr;errore_tecnico;fallback_locale;modello;input_tokens;output_tokens;total_tokens;costo_input;costo_output;costo_totale;avg_input_tokens_per_chunk;avg_output_tokens_per_chunk;avg_total_tokens_per_chunk;num_chunk_llm;timestamp
0002;atto_2 .pdf;C:\Users\Ciro\Documents\Tirocinio\Output\Golden\Golden128\stime_effetto_singoli_componenti_40\Input_stime_effetto_40\atto_2 .pdf;file:///C:/Users/Ciro/Documents/Tirocinio/Output/Golden/Golden128/stime_effetto_singoli_componenti_40/Input_stime_effetto_40/atto_2%20.pdf;C:\Users\Ciro\Documents\Tirocinio\Output\Golden\Golden128\estrai_atti_STIME_var_prompt_riassunto\txt_opendataloader_ocr\atto_2 _rapidocr.txt;file:///C:/Users/Ciro/Documents/Tirocinio/Output/Golden/Golden128/estrai_atti_STIME_var_prompt_riassunto/txt_opendataloader_ocr/atto_2%20_rapidocr.txt;C:\Users\Ciro\Documents\Tirocinio\Output\Golden\Golden128\estrai_atti_STIME_var_prompt_riassunto\testi_completi_llm\0002_atto_2__testo_completo_llm.txt;file:///C:/Users/Ciro/Documents/Tirocinio/Output/Golden/Golden128/estrai_atti_STIME_var_prompt_riassunto/testi_completi_llm/0002_atto_2__testo_completo_llm.txt;1;;0;gemma3:4b;423;162;585;0.0;0.0;0.0;423.0;162.0;585.0;1;2026-06-14 02:37:47
0004;atto_4.pdf;C:\Users\Ciro\Documents\Tirocinio\Output\Golden\Golden128\stime_effetto_singoli_componenti_40\Input_stime_effetto_40\atto_4.pdf;file:///C:/Users/Ciro/Documents/Tirocinio/Output/Golden/Golden128/stime_effetto_singoli_componenti_40/Input_stime_effetto_40/atto_4.pdf;C:\Users\Ciro\Documents\Tirocinio\Output\Golden\Golden128\estrai_atti_STIME_var_prompt_riassunto\txt_opendataloader\atto_4_head_7_tail_7_pagine.txt;file:///C:/Users/Ciro/Documents/Tirocinio/Output/Golden/Golden128/estrai_atti_STIME_var_prompt_riassunto/txt_opendataloader/atto_4_head_7_tail_7_pagine.txt;C:\Users\Ciro\Documents\Tirocinio\Output\Golden\Golden128\estrai_atti_STIME_var_prompt_riassunto\testi_completi_llm\0004_atto_4_testo_completo_llm.txt;file:///C:/Users/Ciro/Documents/Tirocinio/Output/Golden/Golden128/estrai_atti_STIME_var_prompt_riassunto/testi_completi_llm/0004_atto_4_testo_completo_llm.txt;0;;0;gemma3:4b;488;287;775;0.0;0.0;0.0;488.0;287.0;775.0;1;2026-06-14 02:39:43
0009;atto_9.pdf;C:\Users\Ciro\Documents\Tirocinio\Output\Golden\Golden128\stime_effetto_singoli_componenti_40\Input_stime_effetto_40\atto_9.pdf;file:///C:/Users/Ciro/Documents/Tirocinio/Output/Golden/Golden128/stime_effetto_singoli_componenti_40/Input_stime_effetto_40/atto_9.pdf;C:\Users\Ciro\Documents\Tirocinio\Output\Golden\Golden128\estrai_atti_STIME_var_prompt_riassunto\txt_opendataloader\atto_9.txt;file:///C:/Users/Ciro/Documents/Tirocinio/Output/Golden/Golden128/estrai_atti_STIME_var_prompt_riassunto/txt_opendataloader/atto_9.txt;C:\Users\Ciro\Documents\Tirocinio\Output\Golden\Golden128\estrai_atti_STIME_var_prompt_riassunto\testi_completi_llm\0009_atto_9_testo_completo_llm.txt;file:///C:/Users/Ciro/Documents/Tirocinio/Output/Golden/Golden128/estrai_atti_STIME_var_prompt_riassunto/testi_completi_llm/0009_atto_9_testo_completo_llm.txt;0;;0;gemma3:4b;408;129;537;0.0;0.0;0.0;408.0;129.0;537.0;1;2026-06-14 02:40:33
0016;atto_16.pdf;C:\Users\Ciro\Documents\Tirocinio\Output\Golden\Golden128\stime_effetto_singoli_componenti_40\Input_stime_effetto_40\atto_16.pdf;file:///C:/Users/Ciro/Documents/Tirocinio/Output/Golden/Golden128/stime_effetto_singoli_componenti_40/Input_stime_effetto_40/atto_16.pdf;C:\Users\Ciro\Documents\Tirocinio\Output\Golden\Golden128\estrai_atti_STIME_var_prompt_riassunto\txt_opendataloader\atto_16.txt;file:///C:/Users/Ciro/Documents/Tirocinio/Output/Golden/Golden128/estrai_atti_STIME_var_prompt_riassunto/txt_opendataloader/atto_16.txt;C:\Users\Ciro\Documents\Tirocinio\Output\Golden\Golden128\estrai_atti_STIME_var_prompt_riassunto\testi_completi_llm\0016_atto_16_testo_completo_llm.txt;file:///C:/Users/Ciro/Documents/Tirocinio/Output/Golden/Golden128/estrai_atti_STIME_var_prompt_riassunto/testi_completi_llm/0016_atto_16_testo_completo_llm.txt;0;;0;gemma3:4b;438;133;571;0.0;0.0;0.0;438.0;133.0;571.0;1;2026-06-14 02:41:29
0017;atto_17.pdf;C:\Users\Ciro\Documents\Tirocinio\Output\Golden\Golden128\stime_effetto_singoli_componenti_40\Input_stime_effetto_40\atto_17.pdf;file:///C:/Users/Ciro/Documents/Tirocinio/Output/Golden/Golden128/stime_effetto_singoli_componenti_40/Input_stime_effetto_40/atto_17.pdf;C:\Users\Ciro\Documents\Tirocinio\Output\Golden\Golden128\estrai_atti_STIME_var_prompt_riassunto\txt_opendataloader\atto_17.txt;file:///C:/Users/Ciro/Documents/Tirocinio/Output/Golden/Golden128/estrai_atti_STIME_var_prompt_riassunto/txt_opendataloader/atto_17.txt;C:\Users\Ciro\Documents\Tirocinio\Output\Golden\Golden128\estrai_atti_STIME_var_prompt_riassunto\testi_completi_llm\0017_atto_17_testo_completo_llm.txt;file:///C:/Users/Ciro/Documents/Tirocinio/Output/Golden/Golden128/estrai_atti_STIME_var_prompt_riassunto/testi_completi_llm/0017_atto_17_testo_completo_llm.txt;0;;0;gemma3:4b;464;180;644;0.0;0.0;0.0;464.0;180.0;644.0;1;2026-06-14 02:42:49
0020;atto_20.pdf;C:\Users\Ciro\Documents\Tirocinio\Output\Golden\Golden128\stime_effetto_singoli_componenti_40\Input_stime_effetto_40\atto_20.pdf;file:///C:/Users/Ciro/Documents/Tirocinio/Output/Golden/Golden128/stime_effetto_singoli_componenti_40/Input_stime_effetto_40/atto_20.pdf;C:\Users\Ciro\Documents\Tirocinio\Output\Golden\Golden128\estrai_atti_STIME_var_prompt_riassunto\txt_opendataloader\atto_20.txt;file:///C:/Users/Ciro/Documents/Tirocinio/Output/Golden/Golden128/estrai_atti_STIME_var_prompt_riassunto/txt_opendataloader/atto_20.txt;C:\Users\Ciro\Documents\Tirocinio\Output\Golden\Golden128\estrai_atti_STIME_var_prompt_riassunto\testi_completi_llm\0020_atto_20_testo_completo_llm.txt;file:///C:/Users/Ciro/Documents/Tirocinio/Output/Golden/Golden128/estrai_atti_STIME_var_prompt_riassunto/testi_completi_llm/0020_atto_20_testo_completo_llm.txt;0;;0;gemma3:4b;519;293;812;0.0;0.0;0.0;519.0;293.0;812.0;1;2026-06-14 02:45:00
0030;atto_30.pdf;C:\Users\Ciro\Documents\Tirocinio\Output\Golden\Golden128\stime_effetto_singoli_componenti_40\Input_stime_effetto_40\atto_30.pdf;file:///C:/Users/Ciro/Documents/Tirocinio/Output/Golden/Golden128/stime_effetto_singoli_componenti_40/Input_stime_effetto_40/atto_30.pdf;C:\Users\Ciro\Documents\Tirocinio\Output\Golden\Golden128\estrai_atti_STIME_var_prompt_riassunto\txt_opendataloader\atto_30.txt;file:///C:/Users/Ciro/Documents/Tirocinio/Output/Golden/Golden128/estrai_atti_STIME_var_prompt_riassunto/txt_opendataloader/atto_30.txt;C:\Users\Ciro\Documents\Tirocinio\Output\Golden\Golden128\estrai_atti_STIME_var_prompt_riassunto\testi_completi_llm\0030_atto_30_testo_completo_llm.txt;file:///C:/Users/Ciro/Documents/Tirocinio/Output/Golden/Golden128/estrai_atti_STIME_var_prompt_riassunto/testi_completi_llm/0030_atto_30_testo_completo_llm.txt;0;;0;gemma3:4b;459;206;665;0.0;0.0;0.0;459.0;206.0;665.0;1;2026-06-14 02:46:31
0031;atto_31.pdf;C:\Users\Ciro\Documents\Tirocinio\Output\Golden\Golden128\stime_effetto_singoli_componenti_40\Input_stime_effetto_40\atto_31.pdf;file:///C:/Users/Ciro/Documents/Tirocinio/Output/Golden/Golden128/stime_effetto_singoli_componenti_40/Input_stime_effetto_40/atto_31.pdf;C:\Users\Ciro\Documents\Tirocinio\Output\Golden\Golden128\estrai_atti_STIME_var_prompt_riassunto\txt_opendataloader\atto_31.txt;file:///C:/Users/Ciro/Documents/Tirocinio/Output/Golden/Golden128/estrai_atti_STIME_var_prompt_riassunto/txt_opendataloader/atto_31.txt;C:\Users\Ciro\Documents\Tirocinio\Output\Golden\Golden128\estrai_atti_STIME_var_prompt_riassunto\testi_completi_llm\0031_atto_31_testo_completo_llm.txt;file:///C:/Users/Ciro/Documents/Tirocinio/Output/Golden/Golden128/estrai_atti_STIME_var_prompt_riassunto/testi_completi_llm/0031_atto_31_testo_completo_llm.txt;0;;0;gemma3:4b;503;231;734;0.0;0.0;0.0;503.0;231.0;734.0;1;2026-06-14 02:48:14
0037;atto_37.pdf;C:\Users\Ciro\Documents\Tirocinio\Output\Golden\Golden128\stime_effetto_singoli_componenti_40\Input_stime_effetto_40\atto_37.pdf;file:///C:/Users/Ciro/Documents/Tirocinio/Output/Golden/Golden128/stime_effetto_singoli_componenti_40/Input_stime_effetto_40/atto_37.pdf;C:\Users\Ciro\Documents\Tirocinio\Output\Golden\Golden128\estrai_atti_STIME_var_prompt_riassunto\txt_opendataloader_ocr\atto_37_head_7_tail_7_pagine_rapidocr.txt;file:///C:/Users/Ciro/Documents/Tirocinio/Output/Golden/Golden128/estrai_atti_STIME_var_prompt_riassunto/txt_opendataloader_ocr/atto_37_head_7_tail_7_pagine_rapidocr.txt;C:\Users\Ciro\Documents\Tirocinio\Output\Golden\Golden128\estrai_atti_STIME_var_prompt_riassunto\testi_completi_llm\0037_atto_37_testo_completo_llm.txt;file:///C:/Users/Ciro/Documents/Tirocinio/Output/Golden/Golden128/estrai_atti_STIME_var_prompt_riassunto/testi_completi_llm/0037_atto_37_testo_completo_llm.txt;1;;0;gemma3:4b;539;139;678;0.0;0.0;0.0;539.0;139.0;678.0;1;2026-06-14 02:50:14
0038;atto_38.pdf;C:\Users\Ciro\Documents\Tirocinio\Output\Golden\Golden128\stime_effetto_singoli_componenti_40\Input_stime_effetto_40\atto_38.pdf;file:///C:/Users/Ciro/Documents/Tirocinio/Output/Golden/Golden128/stime_effetto_singoli_componenti_40/Input_stime_effetto_40/atto_38.pdf;C:\Users\Ciro\Documents\Tirocinio\Output\Golden\Golden128\estrai_atti_STIME_var_prompt_riassunto\txt_opendataloader\atto_38.txt;file:///C:/Users/Ciro/Documents/Tirocinio/Output/Golden/Golden128/estrai_atti_STIME_var_prompt_riassunto/txt_opendataloader/atto_38.txt;C:\Users\Ciro\Documents\Tirocinio\Output\Golden\Golden128\estrai_atti_STIME_var_prompt_riassunto\testi_completi_llm\0038_atto_38_testo_completo_llm.txt;file:///C:/Users/Ciro/Documents/Tirocinio/Output/Golden/Golden128/estrai_atti_STIME_var_prompt_riassunto/testi_completi_llm/0038_atto_38_testo_completo_llm.txt;0;;0;gemma3:4b;432;225;657;0.0;0.0;0.0;432.0;225.0;657.0;1;2026-06-14 02:51:54
