id_atto;file_name;pdf_path_locale;pdf_link;txt_path_locale;txt_link;testo_llm_path_locale;testo_llm_link;ocr;errore_tecnico;fallback_locale;modello;input_tokens;output_tokens;total_tokens;costo_input;costo_output;costo_totale;avg_input_tokens_per_chunk;avg_output_tokens_per_chunk;avg_total_tokens_per_chunk;num_chunk_llm;timestamp
0001;atto_1.pdf;C:\Users\Ciro\OneDrive - Università di Napoli Federico II\Desktop\Tirocinio\Input\atto_1.pdf;file:///C:/Users/Ciro/OneDrive%20-%20Universit%C3%A0%20di%20Napoli%20Federico%20II/Desktop/Tirocinio/Input/atto_1.pdf;C:\Users\Ciro\OneDrive - Università di Napoli Federico II\Desktop\Tirocinio\Output\Golden\Golden128\gemma3_12b_pipeline_B\txt_opendataloader\atto_1.txt;file:///C:/Users/Ciro/OneDrive%20-%20Universit%C3%A0%20di%20Napoli%20Federico%20II/Desktop/Tirocinio/Output/Golden/Golden128/gemma3_12b_pipeline_B/txt_opendataloader/atto_1.txt;C:\Users\Ciro\OneDrive - Università di Napoli Federico II\Desktop\Tirocinio\Output\Golden\Golden128\gemma3_12b_pipeline_B\testi_completi_llm\0001_atto_1_testo_completo_llm.txt;file:///C:/Users/Ciro/OneDrive%20-%20Universit%C3%A0%20di%20Napoli%20Federico%20II/Desktop/Tirocinio/Output/Golden/Golden128/gemma3_12b_pipeline_B/testi_completi_llm/0001_atto_1_testo_completo_llm.txt;0;;0;gemma3:12b;384;180;564;0.0;0.0;0.0;384.0;180.0;564.0;1;2026-06-08 20:20:30
0002;atto_2 .pdf;C:\Users\Ciro\OneDrive - Università di Napoli Federico II\Desktop\Tirocinio\Input\atto_2 .pdf;file:///C:/Users/Ciro/OneDrive%20-%20Universit%C3%A0%20di%20Napoli%20Federico%20II/Desktop/Tirocinio/Input/atto_2%20.pdf;C:\Users\Ciro\OneDrive - Università di Napoli Federico II\Desktop\Tirocinio\Output\Golden\Golden128\gemma3_12b_pipeline_B\txt_opendataloader_ocr\atto_2 _rapidocr.txt;file:///C:/Users/Ciro/OneDrive%20-%20Universit%C3%A0%20di%20Napoli%20Federico%20II/Desktop/Tirocinio/Output/Golden/Golden128/gemma3_12b_pipeline_B/txt_opendataloader_ocr/atto_2%20_rapidocr.txt;C:\Users\Ciro\OneDrive - Università di Napoli Federico II\Desktop\Tirocinio\Output\Golden\Golden128\gemma3_12b_pipeline_B\testi_completi_llm\0002_atto_2__testo_completo_llm.txt;file:///C:/Users/Ciro/OneDrive%20-%20Universit%C3%A0%20di%20Napoli%20Federico%20II/Desktop/Tirocinio/Output/Golden/Golden128/gemma3_12b_pipeline_B/testi_completi_llm/0002_atto_2__testo_completo_llm.txt;1;;0;gemma3:12b;358;145;503;0.0;0.0;0.0;358.0;145.0;503.0;1;2026-06-08 20:21:41
0003;atto_3.pdf;C:\Users\Ciro\OneDrive - Università di Napoli Federico II\Desktop\Tirocinio\Input\atto_3.pdf;file:///C:/Users/Ciro/OneDrive%20-%20Universit%C3%A0%20di%20Napoli%20Federico%20II/Desktop/Tirocinio/Input/atto_3.pdf;C:\Users\Ciro\OneDrive - Università di Napoli Federico II\Desktop\Tirocinio\Output\Golden\Golden128\gemma3_12b_pipeline_B\txt_opendataloader\atto_3.txt;file:///C:/Users/Ciro/OneDrive%20-%20Universit%C3%A0%20di%20Napoli%20Federico%20II/Desktop/Tirocinio/Output/Golden/Golden128/gemma3_12b_pipeline_B/txt_opendataloader/atto_3.txt;C:\Users\Ciro\OneDrive - Università di Napoli Federico II\Desktop\Tirocinio\Output\Golden\Golden128\gemma3_12b_pipeline_B\testi_completi_llm\0003_atto_3_testo_completo_llm.txt;file:///C:/Users/Ciro/OneDrive%20-%20Universit%C3%A0%20di%20Napoli%20Federico%20II/Desktop/Tirocinio/Output/Golden/Golden128/gemma3_12b_pipeline_B/testi_completi_llm/0003_atto_3_testo_completo_llm.txt;0;;0;gemma3:12b;404;180;584;0.0;0.0;0.0;404.0;180.0;584.0;1;2026-06-08 20:22:26
0004;atto_4.pdf;C:\Users\Ciro\OneDrive - Università di Napoli Federico II\Desktop\Tirocinio\Input\atto_4.pdf;file:///C:/Users/Ciro/OneDrive%20-%20Universit%C3%A0%20di%20Napoli%20Federico%20II/Desktop/Tirocinio/Input/atto_4.pdf;C:\Users\Ciro\OneDrive - Università di Napoli Federico II\Desktop\Tirocinio\Output\Golden\Golden128\gemma3_12b_pipeline_B\txt_opendataloader\atto_4_head_5_tail_3_pagine.txt;file:///C:/Users/Ciro/OneDrive%20-%20Universit%C3%A0%20di%20Napoli%20Federico%20II/Desktop/Tirocinio/Output/Golden/Golden128/gemma3_12b_pipeline_B/txt_opendataloader/atto_4_head_5_tail_3_pagine.txt;C:\Users\Ciro\OneDrive - Università di Napoli Federico II\Desktop\Tirocinio\Output\Golden\Golden128\gemma3_12b_pipeline_B\testi_completi_llm\0004_atto_4_testo_completo_llm.txt;file:///C:/Users/Ciro/OneDrive%20-%20Universit%C3%A0%20di%20Napoli%20Federico%20II/Desktop/Tirocinio/Output/Golden/Golden128/gemma3_12b_pipeline_B/testi_completi_llm/0004_atto_4_testo_completo_llm.txt;0;;0;gemma3:12b;414;163;577;0.0;0.0;0.0;414.0;163.0;577.0;1;2026-06-08 20:23:16
0005;atto_5.pdf;C:\Users\Ciro\OneDrive - Università di Napoli Federico II\Desktop\Tirocinio\Input\atto_5.pdf;file:///C:/Users/Ciro/OneDrive%20-%20Universit%C3%A0%20di%20Napoli%20Federico%20II/Desktop/Tirocinio/Input/atto_5.pdf;C:\Users\Ciro\OneDrive - Università di Napoli Federico II\Desktop\Tirocinio\Output\Golden\Golden128\gemma3_12b_pipeline_B\txt_opendataloader\atto_5.txt;file:///C:/Users/Ciro/OneDrive%20-%20Universit%C3%A0%20di%20Napoli%20Federico%20II/Desktop/Tirocinio/Output/Golden/Golden128/gemma3_12b_pipeline_B/txt_opendataloader/atto_5.txt;C:\Users\Ciro\OneDrive - Università di Napoli Federico II\Desktop\Tirocinio\Output\Golden\Golden128\gemma3_12b_pipeline_B\testi_completi_llm\0005_atto_5_testo_completo_llm.txt;file:///C:/Users/Ciro/OneDrive%20-%20Universit%C3%A0%20di%20Napoli%20Federico%20II/Desktop/Tirocinio/Output/Golden/Golden128/gemma3_12b_pipeline_B/testi_completi_llm/0005_atto_5_testo_completo_llm.txt;0;;0;gemma3:12b;373;171;544;0.0;0.0;0.0;373.0;171.0;544.0;1;2026-06-08 20:24:01
0006;atto_6.pdf;C:\Users\Ciro\OneDrive - Università di Napoli Federico II\Desktop\Tirocinio\Input\atto_6.pdf;file:///C:/Users/Ciro/OneDrive%20-%20Universit%C3%A0%20di%20Napoli%20Federico%20II/Desktop/Tirocinio/Input/atto_6.pdf;C:\Users\Ciro\OneDrive - Università di Napoli Federico II\Desktop\Tirocinio\Output\Golden\Golden128\gemma3_12b_pipeline_B\txt_opendataloader\atto_6_head_5_tail_3_pagine.txt;file:///C:/Users/Ciro/OneDrive%20-%20Universit%C3%A0%20di%20Napoli%20Federico%20II/Desktop/Tirocinio/Output/Golden/Golden128/gemma3_12b_pipeline_B/txt_opendataloader/atto_6_head_5_tail_3_pagine.txt;C:\Users\Ciro\OneDrive - Università di Napoli Federico II\Desktop\Tirocinio\Output\Golden\Golden128\gemma3_12b_pipeline_B\testi_completi_llm\0006_atto_6_testo_completo_llm.txt;file:///C:/Users/Ciro/OneDrive%20-%20Universit%C3%A0%20di%20Napoli%20Federico%20II/Desktop/Tirocinio/Output/Golden/Golden128/gemma3_12b_pipeline_B/testi_completi_llm/0006_atto_6_testo_completo_llm.txt;0;;0;gemma3:12b;415;157;572;0.0;0.0;0.0;415.0;157.0;572.0;1;2026-06-08 20:24:53
0007;atto_7.pdf;C:\Users\Ciro\OneDrive - Università di Napoli Federico II\Desktop\Tirocinio\Input\atto_7.pdf;file:///C:/Users/Ciro/OneDrive%20-%20Universit%C3%A0%20di%20Napoli%20Federico%20II/Desktop/Tirocinio/Input/atto_7.pdf;C:\Users\Ciro\OneDrive - Università di Napoli Federico II\Desktop\Tirocinio\Output\Golden\Golden128\gemma3_12b_pipeline_B\txt_opendataloader_ocr\atto_7_rapidocr.txt;file:///C:/Users/Ciro/OneDrive%20-%20Universit%C3%A0%20di%20Napoli%20Federico%20II/Desktop/Tirocinio/Output/Golden/Golden128/gemma3_12b_pipeline_B/txt_opendataloader_ocr/atto_7_rapidocr.txt;C:\Users\Ciro\OneDrive - Università di Napoli Federico II\Desktop\Tirocinio\Output\Golden\Golden128\gemma3_12b_pipeline_B\testi_completi_llm\0007_atto_7_testo_completo_llm.txt;file:///C:/Users/Ciro/OneDrive%20-%20Universit%C3%A0%20di%20Napoli%20Federico%20II/Desktop/Tirocinio/Output/Golden/Golden128/gemma3_12b_pipeline_B/testi_completi_llm/0007_atto_7_testo_completo_llm.txt;1;;0;gemma3:12b;408;180;588;0.0;0.0;0.0;408.0;180.0;588.0;1;2026-06-08 20:25:56
0008;atto_8.pdf;C:\Users\Ciro\OneDrive - Università di Napoli Federico II\Desktop\Tirocinio\Input\atto_8.pdf;file:///C:/Users/Ciro/OneDrive%20-%20Universit%C3%A0%20di%20Napoli%20Federico%20II/Desktop/Tirocinio/Input/atto_8.pdf;C:\Users\Ciro\OneDrive - Università di Napoli Federico II\Desktop\Tirocinio\Output\Golden\Golden128\gemma3_12b_pipeline_B\txt_opendataloader_ocr\atto_8_rapidocr.txt;file:///C:/Users/Ciro/OneDrive%20-%20Universit%C3%A0%20di%20Napoli%20Federico%20II/Desktop/Tirocinio/Output/Golden/Golden128/gemma3_12b_pipeline_B/txt_opendataloader_ocr/atto_8_rapidocr.txt;C:\Users\Ciro\OneDrive - Università di Napoli Federico II\Desktop\Tirocinio\Output\Golden\Golden128\gemma3_12b_pipeline_B\testi_completi_llm\0008_atto_8_testo_completo_llm.txt;file:///C:/Users/Ciro/OneDrive%20-%20Universit%C3%A0%20di%20Napoli%20Federico%20II/Desktop/Tirocinio/Output/Golden/Golden128/gemma3_12b_pipeline_B/testi_completi_llm/0008_atto_8_testo_completo_llm.txt;1;;0;gemma3:12b;421;180;601;0.0;0.0;0.0;421.0;180.0;601.0;1;2026-06-08 20:27:00
0009;atto_9.pdf;C:\Users\Ciro\OneDrive - Università di Napoli Federico II\Desktop\Tirocinio\Input\atto_9.pdf;file:///C:/Users/Ciro/OneDrive%20-%20Universit%C3%A0%20di%20Napoli%20Federico%20II/Desktop/Tirocinio/Input/atto_9.pdf;C:\Users\Ciro\OneDrive - Università di Napoli Federico II\Desktop\Tirocinio\Output\Golden\Golden128\gemma3_12b_pipeline_B\txt_opendataloader\atto_9.txt;file:///C:/Users/Ciro/OneDrive%20-%20Universit%C3%A0%20di%20Napoli%20Federico%20II/Desktop/Tirocinio/Output/Golden/Golden128/gemma3_12b_pipeline_B/txt_opendataloader/atto_9.txt;C:\Users\Ciro\OneDrive - Università di Napoli Federico II\Desktop\Tirocinio\Output\Golden\Golden128\gemma3_12b_pipeline_B\testi_completi_llm\0009_atto_9_testo_completo_llm.txt;file:///C:/Users/Ciro/OneDrive%20-%20Universit%C3%A0%20di%20Napoli%20Federico%20II/Desktop/Tirocinio/Output/Golden/Golden128/gemma3_12b_pipeline_B/testi_completi_llm/0009_atto_9_testo_completo_llm.txt;0;;0;gemma3:12b;342;161;503;0.0;0.0;0.0;342.0;161.0;503.0;1;2026-06-08 20:27:41
0010;atto_10.pdf;C:\Users\Ciro\OneDrive - Università di Napoli Federico II\Desktop\Tirocinio\Input\atto_10.pdf;file:///C:/Users/Ciro/OneDrive%20-%20Universit%C3%A0%20di%20Napoli%20Federico%20II/Desktop/Tirocinio/Input/atto_10.pdf;C:\Users\Ciro\OneDrive - Università di Napoli Federico II\Desktop\Tirocinio\Output\Golden\Golden128\gemma3_12b_pipeline_B\txt_opendataloader_ocr\atto_10_rapidocr.txt;file:///C:/Users/Ciro/OneDrive%20-%20Universit%C3%A0%20di%20Napoli%20Federico%20II/Desktop/Tirocinio/Output/Golden/Golden128/gemma3_12b_pipeline_B/txt_opendataloader_ocr/atto_10_rapidocr.txt;C:\Users\Ciro\OneDrive - Università di Napoli Federico II\Desktop\Tirocinio\Output\Golden\Golden128\gemma3_12b_pipeline_B\testi_completi_llm\0010_atto_10_testo_completo_llm.txt;file:///C:/Users/Ciro/OneDrive%20-%20Universit%C3%A0%20di%20Napoli%20Federico%20II/Desktop/Tirocinio/Output/Golden/Golden128/gemma3_12b_pipeline_B/testi_completi_llm/0010_atto_10_testo_completo_llm.txt;1;;0;gemma3:12b;452;180;632;0.0;0.0;0.0;452.0;180.0;632.0;1;2026-06-08 20:29:10
