id_atto;file_name;ocr;testo_completo_llm;golden_label
0001;atto_1.pdf;0;"CITTÀ DI LECCE Decreto Sindacale N. 5 del 23/02/2026 OGGETTO: ATTO DI DELEGA DEL RUOLO DI PRESIDENTE DELLA COMMISSIONE COMUNALE TOPONOMASTICA Dato atto che, quale Sindaco del Comune di Lecce, svolge il ruolo di Presidente della Commissione Comunale Toponomastica ai sensi dell’art. 21, comma 2, del “Regolamento Comunale per la Toponomastica Stradale e Numerazione Civica”; Vista la deliberazione di Giunta Comunale n. 269 del 26.06.2025, con la quale è stata costituita la nuova Commissione Comunale Toponomastica; Ricordato che detta Commissione si è insediata il 28 novembre 2025, a seguito di convocazione con nota prot. n. 213578 del 24.11.2025; Rilevato che, per espressa previsione della citata disposizione regolamentare, a presiedere la Commissione in parola è il Sindaco o suo delegato.";Decreto
0002;atto_2 .pdf;1;"CITTA DI LECCE DecretoSindacale N.7 Data di registrazione: 31/03/2026 OGGETTO: NOMINARE RESPONSABILE DELLA PROTEZIONE DEI DATI - D.P.O. IL SINDACO Premesso che: in riferimento al Decreto 2016 relativo alla ""Protezione delle persone fisiche con riguardo al trattamento dei dati personali, nonché alla libera circolazione di tali dati"", c.d. GDPR ""General Data Protection Regulation""; si richiamano le novita introdotte dal GDPR, in particolare l'adozione di politiche che tengano in considerazione il rischio costante che un determinato trattamento di dati personali possa comportare per i diritti e le liberta degli interessati, e il principio chiave del cosiddetto <Privacy by design>, ossia la garanzia della protezione dei dati fin dalla fase di ideazione e progettazione di un trattamento o di un sistema.";Decreto
0003;atto_3.pdf;0;"CITTÀ DI LECCE Decreto Sindacale N. 3 Data di registrazione: 20/02/2026 OGGETTO: CONFERIMENTO INCARICO RILASCIO C.I.E. IL SINDACO Visto il R.D. 18 giugno 1931, n. 773 - Approvazione del Testo Unico delle leggi di Pubblica Sicurezza, il quale, al comma 1° dell'art. 3, stabilisce che ""Il sindaco è tenuto a rilasciare alle persone aventi nel comune la loro residenza o la loro dimora una carta d'identità conforme al modello stabilito dal Ministero dell'interno""; Visto il D.M. del 23 Dicembre 2015 recante ""Modalità tecniche di emissione della carta di identità elettronica""; Vista la Circolare n° 87/2017 del Ministero dell'Interno - Dipartimento affari interni e territoriali - avente ad oggetto la nuova carta di identità elettronica"" (C.I.E.); Vista la Circolare n° 8/2026 del Ministero dell'Interno - Dipartimento affari interni e territoriali - avente ad oggetto ""Regolamento (UE) 2025/1208 del Consiglio del 12 giugno 2025 sul rafforzamento della sicurezza delle carte d'identità dei";Decreto
0004;atto_4.pdf;0;Gittà di Trani Nedeltia cI'A.gento at Merito Civile PROVINCIA B T Deliberazione di Giunta Comunale Oggetto: Approvazione della revisione manuale di gestione del Protocollo Informatico, dei flussi documentali e degli Archivi. N. 9 del Reg. Data: 20 gennaio 2017 L'anno Duemiladiciassette , il giorno venti del mese di gennaio , alle ore ...llff ...9:.... , nell' aula delle adunanze del Comune di Trani, appositamente convocata, la Giunta Comunale si è riunita nelle persone dei Signori: BOTTARO Av. Amedeo Sindaco. Presidente x BOLOGNA Ing. Raffaella Assessore x CAPONE Arch. Giovanni Assessore x CILIENTO Dott.ssa Debora Assessore x D'AGOSTINO Dott.ssa Ivana Assessore x DE MICHELE Dott. Giuseppe Assessore x GREGORIO Av. Michele Assessore x LERNIA Dott. Felice Assessore x GLERICO Avv. Carmelina Assessore x LIGNOLA Dott. Luca Assessore x dott. Carlo Casalino in numero legale, essendo presenti n.;DeliberaGiunta
0005;atto_5.pdf;0;Città di Trani Medaglia d'Argento al Merito Civile Provincia Barletta Andria Trani Deliberazione del Consiglio Comunale Oggetto: Adozione della Carta dei Diritti della Bambina Data 21/04/2022 L’anno duemilaventidue il giorno ventuno del mese di Aprile alle ore 10.30 nella sala delle adunanze Consiliari, si è riunito il CONSIGLIO COMUNALE in via Ordinaria di Prima, sotto la Presidenza del Sig. Avv. MARINARO Giacomo con l’assistenza del Segretario Generale Dott. Francesco Angelo Lazzaro. Presenti: 1) Avv. Amedeo Bottaro 2) PALUMBO Filiberto 3) LAURORA Tommaso;DeliberaConsiglio
0006;atto_6.pdf;0;Città di Trani Medaglia d'Argento al Merito Civile Provincia Barletta Andria Trani Deliberazione di Giunta Comunale N. 57 DEL REG. Oggetto: MODIFICA DEI VALORI MINIMI DI STIMA UNITARI DELLE AREE EDIFICABILI AI FINI DELL’IMPOSTA IMU ANNO DI IMPOSTA 2021. DATA 20/05/2021 L’anno duemilaventuno il giorno venti del mese di Maggio alle ore 16.30 nella sala delle adunanze del Comune di Trani, appositamente convocata, la Giunta Comunale si è riunita nelle persone dei Signori: Presente Assente Avv. Amedeo Bottaro SINDACO FERRANTE Fabrizio Vice Sindaco LAURORA Carlo ASSESSORE CERVINO Alessandro ASSESSORE NENNA Marina ASSESSORE RONDINONE Alessandra ASSESSORE MERRA Raffaella ASSESSORE MARTELLO Eugenio Benedetto ASSESSORE ZITOLI Francesca ASSESSORE LIGNOLA Luca ASSESSORE;DeliberaGiunta
0007;atto_7.pdf;1;"COMUNEDIFIRENZE PROVEDIMENTODIRIGENZIALE Numero: 2009/DD/00428 Del: Esecutivo da: Proponenti: Direzione Risorsefinanziarie Servizio Centrale Acquisti OGGETTO: Affidamento alla Ditta Accor Service srl del servizio sostitutivo di mensa mediante buoni pasto cartacei per i Volontari del Servizio Civile che prestano servizio per la Direzione Sicurezza Sociale per il periodo gennaio-febbraio 2009 IL DIRIGENTE Premesso che - con Deliberazione del Consiglio Comunale n. 82/907 del 20/12/2007 immediatamente esecutiva, è stato approvato il Bilancio Annuale di Previsione 2008, nonché il piano triennale degli Investimenti 2008/2010 e la Relazione Previsionale e Programmatica; - con Deliberazione di Giunta n.274/338 del 13/05/2008, immediatamente esecutiva, è stato approvato il PEG 2008, e che con il medesimo atto i Responsabili delle Direzioni e dei Servizi sono autorizzati ad adottare gli atti di gestione.";Determina
0008;atto_8.pdf;1;"COMUNEDIFIRENZE PROVEDIMENTODIRIGENZIALE Numero: 2008/DD/00301 Del: Esecutivo da: Proponenti: Direzione Urbanistica OGGETTO: Impegno di spesa per servizio POS-BANCOMAT presso gli sportelli al pubblico della Direzione Urbanistica - Anno 2008. ILDIRETTORE Preso atto: che con deliberazione del C.C.n. 82/907 del 20.12.2007, esecutiva ai termini di legge, è stato che con deliberazione di Giunta n. 877/1019 del 21.12.2007 sono stati autorizzati i Responsabili Bilancio Previsionale 2008, in attesa dell'approvazione del PEG corrente; Visto le determinazioni n. 11756/04 - sportelli al pubblico delle certificazioni urbanistiche e n. 4054/05 - sportelli al pubblico del protocollo generale, con cui la Direzione Urbanistica ha sottoscritto contratti per l'attivazione del servizio POS-PAGOBANCOMAT erogato dalla Cassafiore di Firenze per i pagamenti dei diritti di segreteria di questa Direzione; Premesso che presso questa la Direzione Urbanistica sono attualmente in funzione n. 3";Determina
0009;atto_9.pdf;0;COMUNE DI FIRENZE PROVEDIMENTO DIRIGENZIALE Numero: 2009/DD/00016 Del : 16/01/2009 Esecutivo da: 16/01/2009 OGGETTO: CORSI SERALI COMUNALI E FORMAT - Liquidazione delle attività aggiuntive di insegnamento e non di insegnamento.;Determina
0010;atto_10.pdf;1;"COMUNEDIBELLUNO DECRETO R.3 DEL 30/03/2026 TERRITORIO E RESPONSABILE DELLA TRANSIZIONE AL DIGITALE (RTD) ILSINDACO Premesso che: -il conferimento degli incarichi aventi natura dirigenziale (nel comune di Belluno incarichi di coordinatore d'ambito) ed disciplinato: -dall'art. 48 del CCNL del personale dirigente dell'area funzioni locali del 17/12/2020; -comunale 28/02/2018 n.33; -dagli artt. 50, comma 10; 109, comma 1.; 110, comma 1, del d.lgs. 18/08/2000 n. 267 e ss.mm.; -dall'art. 19, comma 1. del d.lgs. 30/03/2001, n. 165 e ss.mm; il comune di Belluno non è dotato di un apposito regolamento che definisca procedure e criteri per il conferimento degli incarichi dirigenziali. Premesso altresì che: -con delibera della giunta comunale 01/03/2021, n. 35, é stata modificata la struttura organizzativa; -con delibera di giunta comunale 18/09/2023, n";Decreto
