;precision;recall;f1-score;support
AccordoSindacale;1.0;0.9375;0.967741935483871;16.0
Decreto;0.7222222222222222;0.8125;0.7647058823529411;16.0
DeliberaConsiglio;1.0;1.0;1.0;16.0
DeliberaGiunta;0.9375;0.9375;0.9375;16.0
Determina;1.0;0.9375;0.967741935483871;16.0
Ordinanza;0.875;0.875;0.875;16.0
Regolamento;1.0;0.875;0.9333333333333333;16.0
Statuto;0.8888888888888888;1.0;0.9411764705882353;16.0
accuracy;0.921875;0.921875;0.921875;0.921875
macro avg;0.9279513888888888;0.921875;0.9233999446552814;128.0
weighted avg;0.9279513888888888;0.921875;0.9233999446552814;128.0
