;precision;recall;f1-score;support
AccordoSindacale;1.0;0.875;0.9333333333333333;16.0
Decreto;0.875;0.875;0.875;16.0
DeliberaConsiglio;0.8421052631578947;1.0;0.9142857142857143;16.0
DeliberaGiunta;1.0;0.875;0.9333333333333333;16.0
Determina;0.9375;0.9375;0.9375;16.0
Ordinanza;0.9375;0.9375;0.9375;16.0
Regolamento;0.9411764705882353;1.0;0.9696969696969697;16.0
Statuto;1.0;1.0;1.0;16.0
accuracy;0.9375;0.9375;0.9375;0.9375
macro avg;0.9416602167182663;0.9375;0.9375811688311688;128.0
weighted avg;0.9416602167182663;0.9375;0.9375811688311688;128.0
