;precision;recall;f1-score;support
AccordoSindacale;1.0;0.9375;0.967741935483871;16.0
Decreto;0.8823529411764706;0.9375;0.9090909090909091;16.0
DeliberaConsiglio;1.0;1.0;1.0;16.0
DeliberaGiunta;1.0;0.9375;0.967741935483871;16.0
Determina;0.9375;0.9375;0.9375;16.0
Ordinanza;0.9411764705882353;1.0;0.9696969696969697;16.0
Regolamento;1.0;1.0;1.0;16.0
Statuto;1.0;1.0;1.0;16.0
accuracy;0.96875;0.96875;0.96875;0.96875
macro avg;0.9701286764705883;0.96875;0.9689714687194526;128.0
weighted avg;0.9701286764705883;0.96875;0.9689714687194526;128.0
