id_atto;file_name;pdf_path_locale;pdf_link;txt_path_locale;txt_link;testo_llm_path_locale;testo_llm_link;ocr;errore_tecnico;fallback_locale;modello;input_tokens;output_tokens;total_tokens;costo_input;costo_output;costo_totale;avg_input_tokens_per_chunk;avg_output_tokens_per_chunk;avg_total_tokens_per_chunk;num_chunk_llm;timestamp
0001;atto_1.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Input\atto_1.pdf;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Input/atto_1.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\llama3_1_8b_pipeline_B\txt_opendataloader\atto_1.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/llama3_1_8b_pipeline_B/txt_opendataloader/atto_1.txt;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\llama3_1_8b_pipeline_B\testi_completi_llm\0001_atto_1_testo_completo_llm.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/llama3_1_8b_pipeline_B/testi_completi_llm/0001_atto_1_testo_completo_llm.txt;0;;0;llama3.1:8b;413;180;593;0.0;0.0;0.0;413.0;180.0;593.0;1;2026-06-09 02:20:18
0002;atto_2 .pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Input\atto_2 .pdf;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Input/atto_2%20.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\llama3_1_8b_pipeline_B\txt_opendataloader_ocr\atto_2 _rapidocr.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/llama3_1_8b_pipeline_B/txt_opendataloader_ocr/atto_2%20_rapidocr.txt;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\llama3_1_8b_pipeline_B\testi_completi_llm\0002_atto_2__testo_completo_llm.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/llama3_1_8b_pipeline_B/testi_completi_llm/0002_atto_2__testo_completo_llm.txt;1;;0;llama3.1:8b;398;113;511;0.0;0.0;0.0;398.0;113.0;511.0;1;2026-06-09 02:21:02
0003;atto_3.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Input\atto_3.pdf;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Input/atto_3.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\llama3_1_8b_pipeline_B\txt_opendataloader\atto_3.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/llama3_1_8b_pipeline_B/txt_opendataloader/atto_3.txt;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\llama3_1_8b_pipeline_B\testi_completi_llm\0003_atto_3_testo_completo_llm.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/llama3_1_8b_pipeline_B/testi_completi_llm/0003_atto_3_testo_completo_llm.txt;0;;0;llama3.1:8b;432;145;577;0.0;0.0;0.0;432.0;145.0;577.0;1;2026-06-09 02:21:22
0004;atto_4.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Input\atto_4.pdf;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Input/atto_4.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\llama3_1_8b_pipeline_B\txt_opendataloader\atto_4_head_5_tail_3_pagine.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/llama3_1_8b_pipeline_B/txt_opendataloader/atto_4_head_5_tail_3_pagine.txt;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\llama3_1_8b_pipeline_B\testi_completi_llm\0004_atto_4_testo_completo_llm.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/llama3_1_8b_pipeline_B/testi_completi_llm/0004_atto_4_testo_completo_llm.txt;0;;0;llama3.1:8b;447;102;549;0.0;0.0;0.0;447.0;102.0;549.0;1;2026-06-09 02:21:37
0005;atto_5.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Input\atto_5.pdf;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Input/atto_5.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\llama3_1_8b_pipeline_B\txt_opendataloader\atto_5.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/llama3_1_8b_pipeline_B/txt_opendataloader/atto_5.txt;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\llama3_1_8b_pipeline_B\testi_completi_llm\0005_atto_5_testo_completo_llm.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/llama3_1_8b_pipeline_B/testi_completi_llm/0005_atto_5_testo_completo_llm.txt;0;;0;llama3.1:8b;413;112;525;0.0;0.0;0.0;413.0;112.0;525.0;1;2026-06-09 02:21:53
0006;atto_6.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Input\atto_6.pdf;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Input/atto_6.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\llama3_1_8b_pipeline_B\txt_opendataloader\atto_6_head_5_tail_3_pagine.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/llama3_1_8b_pipeline_B/txt_opendataloader/atto_6_head_5_tail_3_pagine.txt;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\llama3_1_8b_pipeline_B\testi_completi_llm\0006_atto_6_testo_completo_llm.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/llama3_1_8b_pipeline_B/testi_completi_llm/0006_atto_6_testo_completo_llm.txt;0;;0;llama3.1:8b;451;180;631;0.0;0.0;0.0;451.0;180.0;631.0;1;2026-06-09 02:22:17
0007;atto_7.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Input\atto_7.pdf;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Input/atto_7.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\llama3_1_8b_pipeline_B\txt_opendataloader_ocr\atto_7_rapidocr.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/llama3_1_8b_pipeline_B/txt_opendataloader_ocr/atto_7_rapidocr.txt;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\llama3_1_8b_pipeline_B\testi_completi_llm\0007_atto_7_testo_completo_llm.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/llama3_1_8b_pipeline_B/testi_completi_llm/0007_atto_7_testo_completo_llm.txt;1;;0;llama3.1:8b;424;118;542;0.0;0.0;0.0;424.0;118.0;542.0;1;2026-06-09 02:22:45
0008;atto_8.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Input\atto_8.pdf;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Input/atto_8.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\llama3_1_8b_pipeline_B\txt_opendataloader_ocr\atto_8_rapidocr.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/llama3_1_8b_pipeline_B/txt_opendataloader_ocr/atto_8_rapidocr.txt;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\llama3_1_8b_pipeline_B\testi_completi_llm\0008_atto_8_testo_completo_llm.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/llama3_1_8b_pipeline_B/testi_completi_llm/0008_atto_8_testo_completo_llm.txt;1;;0;llama3.1:8b;420;180;600;0.0;0.0;0.0;420.0;180.0;600.0;1;2026-06-09 02:23:17
0009;atto_9.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Input\atto_9.pdf;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Input/atto_9.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\llama3_1_8b_pipeline_B\txt_opendataloader\atto_9.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/llama3_1_8b_pipeline_B/txt_opendataloader/atto_9.txt;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\llama3_1_8b_pipeline_B\testi_completi_llm\0009_atto_9_testo_completo_llm.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/llama3_1_8b_pipeline_B/testi_completi_llm/0009_atto_9_testo_completo_llm.txt;0;;0;llama3.1:8b;360;139;499;0.0;0.0;0.0;360.0;139.0;499.0;1;2026-06-09 02:23:34
0010;atto_10.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Input\atto_10.pdf;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Input/atto_10.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\llama3_1_8b_pipeline_B\txt_opendataloader_ocr\atto_10_rapidocr.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/llama3_1_8b_pipeline_B/txt_opendataloader_ocr/atto_10_rapidocr.txt;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\llama3_1_8b_pipeline_B\testi_completi_llm\0010_atto_10_testo_completo_llm.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/llama3_1_8b_pipeline_B/testi_completi_llm/0010_atto_10_testo_completo_llm.txt;1;;0;llama3.1:8b;447;137;584;0.0;0.0;0.0;447.0;137.0;584.0;1;2026-06-09 02:24:23
