;precision;recall;f1-score;support
AccordoSindacale;0.9411764705882353;1.0;0.9696969696969697;16.0
Decreto;0.8125;0.8125;0.8125;16.0
DeliberaConsiglio;0.9375;0.9375;0.9375;16.0
DeliberaGiunta;0.9333333333333333;0.875;0.9032258064516129;16.0
Determina;1.0;0.8125;0.896551724137931;16.0
Ordinanza;1.0;0.9375;0.967741935483871;16.0
Regolamento;0.8888888888888888;1.0;0.9411764705882353;16.0
Statuto;0.8888888888888888;1.0;0.9411764705882353;16.0
accuracy;0.921875;0.921875;0.921875;0.921875
macro avg;0.9252859477124182;0.921875;0.9211961721183569;128.0
weighted avg;0.9252859477124182;0.921875;0.9211961721183569;128.0
