;precision;recall;f1-score;support
AccordoSindacale;0.8823529411764706;0.9375;0.9090909090909091;16.0
Decreto;0.7857142857142857;0.6875;0.7333333333333333;16.0
DeliberaConsiglio;0.9375;0.9375;0.9375;16.0
DeliberaGiunta;0.9333333333333333;0.875;0.9032258064516129;16.0
Determina;0.9230769230769231;0.75;0.8275862068965517;16.0
Ordinanza;1.0;0.8125;0.896551724137931;16.0
Regolamento;0.7272727272727273;1.0;0.8421052631578947;16.0
Statuto;0.8888888888888888;1.0;0.9411764705882353;16.0
accuracy;0.875;0.875;0.875;0.875
macro avg;0.8847673874328286;0.875;0.8738212142070585;128.0
weighted avg;0.8847673874328286;0.875;0.8738212142070585;128.0
