tool;source_format;marker_detected;n
docling;json;ACQUISITI_PARERI;18
docling;json;ACQUISITO;9
docling;json;ANALIZZATO;1
docling;json;ATTESO;24
docling;json;ATTESTA;35
docling;json;ATTESTATO;4
docling;json;CONSIDERATO;52
docling;json;DATO_ATTO;57
docling;json;DELIBERA;119
docling;json;ESAMINATO;3
docling;json;EVIDENZIATO;4
docling;json;FORMULATO;4
docling;json;INDIVIDUATO;2
docling;json;LETTO;28
docling;json;PRECISATO;8
docling;json;PREDISPOSTO;1
docling;json;PREMESSO;34
docling;json;PRESO_ATTO;23
docling;json;PROPONE_DELIBERARE;3
docling;json;RAVVISATO;2
docling;json;RICHIAMATO;26
docling;json;RICONOSCIUTO;6
docling;json;RICORDATO;1
docling;json;RILEVATO;17
docling;json;RITENUTO;59
docling;json;STABILITO;1
docling;json;TENUTO_CONTO;4
docling;json;UDITO;6
docling;json;VALUTATO;7
docling;json;VERIFICATO;2
docling;json;VISTI_PARERI;14
docling;json;VISTO;181
