tool;source_format;tipo_blocco;macro_sezione;n
docling;json;ACQUISITI_PARERI;PARERI_ATTESTAZIONI;10
docling;json;ACQUISITO;ISTRUTTORIA;4
docling;json;ATTESO;MOTIVAZIONE;7
docling;json;CONSIDERATO;MOTIVAZIONE;17
docling;json;DATO_ATTO;ISTRUTTORIA;22
docling;json;PREMESSO;NARRATIVA_PREMESSA;16
docling;json;PRESO_ATTO;ISTRUTTORIA;3
docling;json;RAVVISATO;MOTIVAZIONE;1
docling;json;RICHIAMATO;PREAMBOLO_RIFERIMENTI;6
docling;json;RICONOSCIUTO;MOTIVAZIONE_VALUTAZIONE;1
docling;json;RILEVATO;ISTRUTTORIA_MOTIVAZIONE;6
docling;json;RITENUTO;MOTIVAZIONE_VALUTAZIONE;20
docling;json;VALUTATO;MOTIVAZIONE_VALUTAZIONE;2
docling;json;VERIFICATO;ISTRUTTORIA;1
docling;json;VISTI_PARERI;PARERI_ATTESTAZIONI;3
docling;json;VISTO;PREAMBOLO_RIFERIMENTI;66
