id_atto;tool;source_format;sequenza_blocchi
atto_1;docling;json;PREMESSO > VISTO > VISTO > CONSIDERATO > ATTESO > RITENUTO > VISTI_PARERI > DISPOSITIVO_DELIBERA
atto_10;docling;json;ACQUISITI_PARERI > DISPOSITIVO_ATTESTA
atto_11;docling;json;PREMESSO > VISTO > CONSIDERATO > RITENUTO > RITENUTO > VISTI_PARERI > VISTO > DISPOSITIVO_DELIBERA
atto_12;docling;json;PREMESSO > CONSIDERATO > RITENUTO > VISTO > DISPOSITIVO_PROPOSTA > VISTO > ACQUISITI_PARERI > DISPOSITIVO_DELIBERA
atto_13;docling;json;PREMESSO > CONSIDERATO > RITENUTO > VISTO > DISPOSITIVO_PROPOSTA > VISTO > ACQUISITI_PARERI > RITENUTO > DISPOSITIVO_DELIBERA
atto_14;docling;json;VISTO > RICHIAMATO > VISTO > ATTESO > CONSIDERATO > CONSIDERATO > VISTO > VISTO > VISTO > ACQUISITI_PARERI > DISPOSITIVO_DELIBERA
atto_15;docling;json;PRESO_ATTO > VISTO > CONSIDERATO > DATO_ATTO > RILEVATO > VISTO > CONSIDERATO > VISTO > RITENUTO > VISTO > VISTO > DISPOSITIVO_DELIBERA
atto_16;docling;json;PREMESSO > PREMESSO > RITENUTO > RILEVATO > RILEVATO > RILEVATO > RILEVATO > CONSIDERATO > VISTO > VISTO > DATO_ATTO > RICONOSCIUTO > DISPOSITIVO_DELIBERA
atto_17;docling;json;DATO_ATTO > DATO_ATTO > RICHIAMATO > VISTO > CONSIDERATO > VISTO > RITENUTO > ACQUISITO > DISPOSITIVO_PROPOSTA > VISTO > VISTO > VISTO > DISPOSITIVO_DELIBERA
atto_18;docling;json;PREMESSO > DATO_ATTO > VISTO > DATO_ATTO > ATTESO > DATO_ATTO > VISTO > DATO_ATTO > RITENUTO > CONSIDERATO > ATTESO > RITENUTO > ACQUISITO > DISPOSITIVO_PROPOSTA > VISTO > VISTO > VISTO > DISPOSITIVO_DELIBERA
atto_19;docling;json;PREMESSO > DATO_ATTO > VISTO > DATO_ATTO > ATTESO > DATO_ATTO > VISTO > RITENUTO > CONSIDERATO > DATO_ATTO > ATTESO > DISPOSITIVO_PROPOSTA > VISTO > VISTO > VISTO > DATO_ATTO > UDITO > DISPOSITIVO_DELIBERA
atto_2;docling;json;PREMESSO > CONSIDERATO > RAVVISATO > VISTO > VALUTATO > VALUTATO > VISTO > VISTO > ACQUISITI_PARERI > DISPOSITIVO_DELIBERA
atto_20;docling;json;PREMESSO > DATO_ATTO > VISTO > CONSIDERATO > ATTESO > DATO_ATTO > VISTO > RITENUTO > CONSIDERATO > DATO_ATTO > ATTESO > DISPOSITIVO_PROPOSTA > VISTO > VISTO > VISTO > DATO_ATTO > UDITO > DISPOSITIVO_DELIBERA
atto_21;docling;json;RICONOSCIUTO > UDITO > RICHIAMATO > DATO_ATTO > VISTO > CONSIDERATO > DATO_ATTO > CONSIDERATO > VISTO > RILEVATO > RITENUTO > DATO_ATTO > DISPOSITIVO_DELIBERA
atto_22;docling;json;RICONOSCIUTO > PREMESSO > VISTO > VISTO > VISTO > DATO_ATTO > VISTI_PARERI > DISPOSITIVO_DELIBERA
atto_23;docling;json;RICONOSCIUTO > UDITO > VISTO > PRESO_ATTO > RICHIAMATO > CONSIDERATO > RITENUTO > VISTI_PARERI > DISPOSITIVO_DELIBERA
atto_24;docling;json;VISTO > ATTESO > RILEVATO > DATO_ATTO > RITENUTO > DATO_ATTO > DATO_ATTO > CONSIDERATO > VISTO > DISPOSITIVO_DELIBERA
atto_25;docling;json;VISTO > DATO_ATTO > VISTO > RICHIAMATO > DATO_ATTO > CONSIDERATO > ATTESO > DATO_ATTO > DATO_ATTO > VISTO > RITENUTO > VISTO > PRESO_ATTO > DISPOSITIVO_DELIBERA
atto_26;docling;json;PREMESSO > DATO_ATTO > RICHIAMATO > RICHIAMATO > ATTESO > VISTO > RAVVISATO > CONSIDERATO > ACQUISITI_PARERI > VISTO > DISPOSITIVO_DELIBERA
atto_27;docling;json;VISTO > RITENUTO > ACQUISITI_PARERI > DATO_ATTO > DISPOSITIVO_DELIBERA
atto_28;docling;json;PREMESSO > RILEVATO > PRESO_ATTO > RICHIAMATO > RICHIAMATO > VISTO > VISTO > PRESO_ATTO > VISTO > VISTO > RITENUTO > VISTO > VISTO > VISTO > VISTO > VISTO > DISPOSITIVO_DELIBERA
atto_29;docling;json;VISTO > CONSIDERATO > TENUTO_CONTO > RILEVATO > RICHIAMATO > DATO_ATTO > PRESO_ATTO > ACQUISITI_PARERI > VISTO > DISPOSITIVO_DELIBERA
atto_3;docling;json;ACQUISITI_PARERI > DISPOSITIVO_ATTESTA
atto_30;docling;json;PREMESSO > DATO_ATTO > RICHIAMATO > RICHIAMATO > VISTO > VISTO > VISTO > VISTO > VISTO > VISTI_PARERI > RILEVATO > DISPOSITIVO_PROPOSTA > VISTO > RITENUTO > DISPOSITIVO_DELIBERA
atto_31;docling;json;ACQUISITO > VISTO > VISTO > VISTO > VISTO > VISTO > VISTO > PRESO_ATTO > CONSIDERATO > CONSIDERATO > ANALIZZATO > DISPOSITIVO_PROPOSTA > PRESO_ATTO > CONSIDERATO > ESAMINATO > DISPOSITIVO_PROPOSTA > RITENUTO > PRESO_ATTO > DISPOSITIVO_DELIBERA
atto_32;docling;json;PREMESSO > CONSIDERATO > VISTO > DATO_ATTO > CONSIDERATO > TENUTO_CONTO > PRESO_ATTO > DATO_ATTO > CONSIDERATO > VISTO > RITENUTO > RITENUTO > RITENUTO > RITENUTO > RITENUTO > VALUTATO > VISTI_PARERI > VISTO > VISTO > VISTO > DISPOSITIVO_DELIBERA
atto_33;docling;json;VISTO > VISTO > VISTO > VISTO > RILEVATO > RILEVATO > PRESO_ATTO > VISTO > DATO_ATTO > VISTO > VISTO > VISTO > VISTO > VISTO > VISTO > CONSIDERATO > VISTO > VISTO > DATO_ATTO > VISTO > RITENUTO > VISTO > VISTO > CONSIDERATO > PRESO_ATTO > RITENUTO > RITENUTO > VISTO > RITENUTO > VALUTATO > VISTI_PARERI > VISTO > DISPOSITIVO_DELIBERA
atto_34;docling;json;PREMESSO > RITENUTO > VALUTATO > VISTI_PARERI > VISTO > DISPOSITIVO_DELIBERA
atto_35;docling;json;PREMESSO > DATO_ATTO > EVIDENZIATO > CONSIDERATO > RITENUTO > VALUTATO > ACQUISITI_PARERI > VISTO > VISTO > VISTO > DISPOSITIVO_DELIBERA
atto_36;docling;json;UDITO > VISTO > VISTO > CONSIDERATO > CONSIDERATO > CONSIDERATO > CONSIDERATO > PRECISATO > PRECISATO > VISTO > VISTO > DATO_ATTO > TENUTO_CONTO > VISTO > ATTESO > VISTI_PARERI > VISTI_PARERI > VISTO > RITENUTO > DISPOSITIVO_DELIBERA
atto_37;docling;json;UDITO > PREMESSO > RICHIAMATO > RICHIAMATO > VISTO > RICHIAMATO > CONSIDERATO > CONSIDERATO > CONSIDERATO > RITENUTO > EVIDENZIATO > VISTI_PARERI > VISTI_PARERI > VISTO > RITENUTO > DISPOSITIVO_DELIBERA
atto_38;docling;json;FORMULATO > RILEVATO > PRECISATO > PREDISPOSTO > VISTO > DISPOSITIVO_PROPOSTA > RITENUTO > ATTESO > RITENUTO > DATO_ATTO > DISPOSITIVO_DELIBERA
atto_39;docling;json;FORMULATO > DATO_ATTO > CONSIDERATO > VISTO > CONSIDERATO > RITENUTO > ACQUISITO > DISPOSITIVO_PROPOSTA > RITENUTO > DATO_ATTO > ATTESO > DISPOSITIVO_DELIBERA
atto_4;docling;json;ACQUISITI_PARERI > VISTO > VISTO > VISTO > VISTO > VISTO > DATO_ATTO > DATO_ATTO > PRESO_ATTO > CONSIDERATO > VISTO > ACQUISITO > VISTO > DISPOSITIVO_DELIBERA
atto_40;docling;json;FORMULATO > TENUTO_CONTO > VISTO > ACQUISITO > DATO_ATTO > STABILITO > ATTESO > PRECISATO > INDIVIDUATO > PRECISATO > ACQUISITO > DISPOSITIVO_PROPOSTA > RITENUTO > DATO_ATTO > ATTESO > DATO_ATTO > DISPOSITIVO_DELIBERA
atto_41;docling;json;FORMULATO > ESAMINATO > ATTESO > VISTO > CONSIDERATO > PRESO_ATTO > VALUTATO > RICONOSCIUTO > ATTESO > RICONOSCIUTO > PRESO_ATTO > ACQUISITO > RILEVATO > VISTO > DISPOSITIVO_PROPOSTA > RITENUTO > DATO_ATTO > ATTESO > DATO_ATTO > DISPOSITIVO_DELIBERA
atto_42;docling;json;PREMESSO > CONSIDERATO > RICORDATO > RITENUTO > PRECISATO > ATTESO > EVIDENZIATO > PRECISATO > DATO_ATTO > ATTESO > RITENUTO > RITENUTO > PRESO_ATTO > VISTO > VISTO > VISTO > VISTO > VISTO > DISPOSITIVO_DELIBERA
atto_43;docling;json;PREMESSO > CONSIDERATO > PRESO_ATTO > RITENUTO > VISTO > DISPOSITIVO_DELIBERA
atto_44;docling;json;PREMESSO > CONSIDERATO > CONSIDERATO > RITENUTO > VISTO > DISPOSITIVO_DELIBERA
atto_45;docling;json;RILEVATO > ATTESO > VISTO > DATO_ATTO > DISPOSITIVO_DELIBERA
atto_46;docling;json;PREMESSO > CONSIDERATO > RITENUTO > VISTO > DISPOSITIVO_DELIBERA
atto_47;docling;json;PREMESSO > ESAMINATO > EVIDENZIATO > RITENUTO > RICHIAMATO > DISPOSITIVO_DELIBERA
atto_48;docling;json;PREMESSO > PRECISATO > DATO_ATTO > DATO_ATTO > RITENUTO > ACQUISITI_PARERI > DISPOSITIVO_DELIBERA
atto_49;docling;json;PREMESSO > PREMESSO > RICHIAMATO > PRESO_ATTO > PRESO_ATTO > VERIFICATO > RICHIAMATO > INDIVIDUATO > PRESO_ATTO > VISTI_PARERI > RICHIAMATO > RICHIAMATO > DISPOSITIVO_DELIBERA
atto_5;docling;json;ACQUISITI_PARERI > PREMESSO > PREMESSO > RICHIAMATO > RICHIAMATO > PRESO_ATTO > VISTO > VISTO > VISTO > VISTO > RITENUTO > VISTO > VISTO > VISTO > VISTO > DISPOSITIVO_DELIBERA
atto_50;docling;json;PREMESSO > CONSIDERATO > PRESO_ATTO > VISTO > DISPOSITIVO_DELIBERA
atto_6;docling;json;PREMESSO > VISTO > CONSIDERATO > RITENUTO > VISTO > ACQUISITI_PARERI > DISPOSITIVO_DELIBERA
atto_7;docling;json;PREMESSO > VISTO > RICHIAMATO > RICHIAMATO > RITENUTO > VISTO > DATO_ATTO > CONSIDERATO > RILEVATO > VISTO > DATO_ATTO > VISTO > RITENUTO > DISPOSITIVO_PROPOSTA > VISTO > RITENUTO > VISTI_PARERI > DISPOSITIVO_DELIBERA
atto_8;docling;json;PREMESSO > CONSIDERATO > RITENUTO > VISTO > ACQUISITI_PARERI > DISPOSITIVO_DELIBERA
atto_9;docling;json;ACQUISITI_PARERI > PREMESSO > RICHIAMATO > VERIFICATO > VISTO > DATO_ATTO > ACQUISITO > RITENUTO > VISTO > VISTO > VISTO > VISTO > DISPOSITIVO_DELIBERA
