id_atto;tool;source_format;source_file;order;page;label_raw;role_norm;text;bbox;procedural_stop_pos;stop_detected;marker_detected;is_noise
atto_1;docling;markdown;atto_1.md;1;;heading;heading;COMUNE DI AUSONIA;;;;;False
atto_1;docling;markdown;atto_1.md;3;;heading;heading;Provincia di Frosinone;;;;;False
atto_1;docling;markdown;atto_1.md;5;;heading;heading;COPIA DI DELIBERAZIONE DELLA GIUNTA COMUNALE;;;;;False
atto_1;docling;markdown;atto_1.md;7;;heading;heading;Verbale n. 44 del 18-06-2026;;;;;False
atto_1;docling;markdown;atto_1.md;9;;paragraph;text;OGGETTO: D. Lgs. 27.10.2009, n. 150. D. Lgs. 25.05.2017, n. 74. Approvazione relazione sulla performance anno 2025.;;;;;False
atto_1;docling;markdown;atto_1.md;11;;paragraph;text;L'anno duemilaventisei, il giorno diciotto del mese di giugno alle ore 12:20 e seg. in Ausonia e nella residenza municipale, nella sala delle adunanze, previa l'osservanza di tutte le formalità prescritte dalle vigenti leggi, sono stati oggi convocati in seduta i componenti della Giunta Comunale.;;;;;False
atto_1;docling;markdown;atto_1.md;13;;paragraph;text;Fatto normale appello nominale, risultano:;;;;;False
atto_1;docling;markdown;atto_1.md;15;;table;table;| | | Presenti / Assenti | Presenti / Assenti |;;;;;True
atto_1;docling;markdown;atto_1.md;16;;table;table;|--------------------|--------------|----------------------|----------------------|;;;;;True
atto_1;docling;markdown;atto_1.md;17;;table;table;| CARDILLO Benedetto | Sindaco | Presente | Presente |;;;;;True
atto_1;docling;markdown;atto_1.md;18;;table;table;| PINCHERA Stefania | Vice Sindaco | | Assente |;;;;;True
atto_1;docling;markdown;atto_1.md;19;;table;table;| STAGNO Gaetano | Assessore | | Presente |;;;;;True
atto_1;docling;markdown;atto_1.md;20;;table;table;| | | Totale | |;;;;;True
atto_1;docling;markdown;atto_1.md;22;;paragraph;text;Assiste il Segretario Comunale Erminio VERNILE, il quale provvede alla redazione del presente verbale. Essendo legale il numero degli intervenuti, il Dott. Benedetto CARDILLO - Sindaco, assume la Presidenza e dichiara aperta la seduta per la trattazione dell'oggetto sopra indicato.;;;;;False
atto_1;docling;markdown;atto_1.md;24;;paragraph;text;.;;;;;False
atto_1;docling;markdown;atto_1.md;26;;heading;heading;PREMESSO che:;;;;PREMESSO;False
atto_1;docling;markdown;atto_1.md;28;;list_item;list_item;"-le Amministrazioni Pubbliche devono adottare, in base a quanto disposto dagli artt. 3 e segg. del D. Lgs. n. 150/2009 e del D. Lgs. n. 74/2017, metodi e strumenti idonei a misurare, valutare e premiare la performance individuale e quella organizzativa, secondo criteri strettamente connessi al soddisfacimento dell'interesse del destinatario dei servizi pubblici;";;;;;False
atto_1;docling;markdown;atto_1.md;29;;list_item;list_item;"-la Relazione sulla Performance prevista dall'art. 10, comma 1, lettera b), del D. Lgs. n. 150/2009, costituisce lo strumento mediante il quale l'Amministrazione illustra ai cittadini e a tutti gli altri ' stakeholders ' (portatori di interesse), i risultati ottenuti nel corso dell'anno precedente;";;;;;False
atto_1;docling;markdown;atto_1.md;30;;list_item;list_item;"-per la predisposizione delle linee guida del presente documento sono intervenute le indicazioni sia della CIVIT, ora ANAC, che dell'ANCI, che i Comuni possono prendere a riferimento per la redazione della Relazione sulla Performance;";;;;;False
atto_1;docling;markdown;atto_1.md;31;;list_item;list_item;"-la Relazione redatta in collaborazione con i vertici dell'Amministrazione va sottoposta alla Giunta per la sua approvazione, ai sensi dell'art. 10 del D. Lgs. n. 150/2009;";;;;;False
