id_atto;tool;source_format;ordine_blocco;tipo_blocco;tipo_blocco_progressivo;macro_sezione;is_narrativa;testo_blocco;page_start;page_end;bbox_start;n_elementi;flag_spezzato;flag_inversione_locale
atto_1;docling;markdown;1;PREMESSO;PREMESSO_1;NARRATIVA_PREMESSA;1;"PREMESSO che: -le Amministrazioni Pubbliche devono adottare, in base a quanto disposto dagli artt. 3 e segg. del D. Lgs. n. 150/2009 e del D. Lgs. n. 74/2017, metodi e strumenti idonei a misurare, valutare e premiare la performance individuale e quella organizzativa, secondo criteri strettamente connessi al soddisfacimento dell'interesse del destinatario dei servizi pubblici; -la Relazione sulla Performance prevista dall'art. 10, comma 1, lettera b), del D. Lgs. n. 150/2009, costituisce lo strumento mediante il quale l'Amministrazione illustra ai cittadini e a tutti gli altri ' stakeholders ' (portatori di interesse), i risultati ottenuti nel corso dell'anno precedente; -per la predisposizione delle linee guida del presente documento sono intervenute le indicazioni sia della CIVIT, ora ANAC, che dell'ANCI, che i Comuni possono prendere a riferimento per la redazione della Relazione sulla Performance; -la Relazione redatta in collaborazione con i vertici dell'Amministrazione va sottoposta alla Giunta per la sua approvazione, ai sensi dell'art. 10 del D. Lgs. n. 150/2009; -con la Relazione sulla Performance si intendono rendicontare le attività poste in essere nel corso dell'anno ed i risultati ottenuti, portando a compimento il Ciclo di Gestione della Performance, così come codificato dal legislatore con l'art. 4 del D. Lgs. n. 150/2009 e con il D. Lgs. n. 74/2017, al fine di rendere trasparente l'azione amministrativa ed applicare i meccanismi premiali previsti dal decreto citato, tenendo in debita considerazione, in linea di principio, le indicazioni fornite dalla Commissione (CIVIT), ora ANAC, per rendere il Ciclo trasparente e leggibile, anche per ottenere la validazione del Nucleo di Valutazione;";;;;6;0;0
atto_1;docling;markdown;2;VISTO;VISTO_1;PREAMBOLO_RIFERIMENTI;1;"VISTO: -la Deliberazione della Giunta Comunale n. 66 del 04.07.2019, con cui è stato approvato il nuovo regolamento per la misurazione, la valutazione e la trasparenza della performance ex D. Lgs. 27 ottobre 2009, n. 150, adeguato al D. Lgs. n. 74/17; -i Decreti sindacali di nomina delle Elevate Qualificazioni, in atti; -la Deliberazione della Giunta Comunale n. 127 del 28.12.2023, con cui è stato approvato il vigente Contratto Collettivo Integrativo (Normativo) del personale del comparto del Comune di Ausonia; -la Deliberazione consiliare n. 1 del 20.01.2025, con la quale è stato approvato il DUP per l'esercizio 2025/2027; -la Deliberazione consiliare n. 3 del 20.01.2025, con la quale è stato approvato Bilancio di Previsione per l'esercizio 2025/2027; -la Deliberazione della Giunta Comunale n. 8 del 20.01.2025, di approvazione del PEG per l'esercizio 2025/2027; -la Deliberazione della Giunta Comunale n. 42 del 14.04.2025, con la quale è stato approvato il Piano Integrato di Attività ed Organizzazione (PIAO) 2025/2027, ai sensi dell'art. 6 del D.L. n. 80/2021, convertito con";;;;8;0;0
atto_1;docling;markdown;3;VISTO;VISTO_2;PREAMBOLO_RIFERIMENTI;1;"VISTA l'allegata relazione sulla performance anno 2025, parte integrante e sostanziale del presente provvedimento;";;;;1;0;0
atto_1;docling;markdown;4;CONSIDERATO;CONSIDERATO_1;MOTIVAZIONE;1;"CONSIDERATO che: -gli obiettivi che l'Amministrazione ha inteso perseguire nell'anno 2025 si ritengono sostanzialmente raggiunti e sono strettamente legati alla premialità, ossia alla distribuzione delle risorse derivanti dal Fondo delle risorse destinato alla produttività in base ai criteri di programmazione e valutazione sopra illustrati; -con la relazione sulla performance si intende favorevolmente adempiuto anche al Controllo di Gestione, come previsto dall'art. 7 e segg. del regolamento comunale sul sistema dei controlli interni ex D.L. 10.10.2012, n. 174, convertito in L. 07.12.2012, n. 213; -ai sensi dell'art. 14, comma 4, lettera c), e comma 6, del D. Lgs. n. 150/2009, la relazione dovrà essere validata dal Nucleo di Valutazione quale condizione inderogabile per l'accesso agli strumenti premiali di cui al Titolo III del decreto in oggetto; -con decreto sindacale n. 2/2025 del 01/04/2025, ai sensi dell'art. 7 del vigente regolamento comunale sull'ordinamento degli uffici e dei servizi, per i compiti in esso contemplati e per le competenze previste da altre norme di legge, è stato nominato il Nucleo di Valutazione esterno dell'Ente, in forma monocratica, nella persona del Dott. Lucio Migliorelli;";;;;5;0;0
atto_1;docling;markdown;5;ATTESO;ATTESO_1;MOTIVAZIONE;1;"ATTESO che: -i responsabili di settore dell'ente titolari di incarichi di Elevata Qualificazione, ai sensi del vigente regolamento sul sistema di misurazione e valutazione della performance hanno redatto le schede di valutazione del personale dipendente, in atti; -il Nucleo di Valutazione del Comune di Ausonia, con proprio verbale del 16/06/2026, acquisto al protocollo generale dell'ente al n. 3914 del 18/06/2026, ai sensi del vigente regolamento sul sistema di misurazione e valutazione della performance, ha trasmesso la proposta di graduatoria della valutazione della performance dei responsabili di settore dell'ente titolari di incarichi di Elevata Qualificazione relativa all'anno 2025; -da dette schede di valutazione emerge un complessivo esito positivo di valutazione del personale dipendente, in particolare dei responsabili di settore titolari di incarichi di Elevata Qualificazione, in linea con gli obiettivi prefissati per l'anno 2025 ed i rispettivi risultati ATTESI e raggiunti; -il Sindaco ha avallato le valutazioni dei responsabili di settore titolari di incarichi di Elevata Qualificazione e quelle rese da Nucleo di Valutazione per questi ultimi, in quanto si ritengono sostanzialmente raggiunti gli obiettivi che l'Amministrazione ha inteso perseguire nell'anno 2025;";;;;5;0;0
atto_1;docling;markdown;6;RITENUTO;RITENUTO_1;MOTIVAZIONE_VALUTAZIONE;1;"RITENUTO, pertanto, di dover provvedere ad approvare, ai sensi dell'art. 10 del D. Lgs. n. 150/2009, l'allegata relazione sulla performance relativa all'anno 2025, parte integrante e sostanziale del presente provvedimento, e di trasmetterla, ai sensi dell'art. 14, comma 4, lettera c), e comma 6, del D. Lgs. 150/2009, al Nucleo di Valutazione per la relativa validazione, quale condizione inderogabile per l'accesso agli strumenti premiali di cui al Titolo III del decreto in oggetto, oltre che all' ANAC ai sensi dell'art. 10 del D. Lgs. 150/2009;";;;;1;0;0
atto_1;docling;markdown;7;VISTI_PARERI;VISTI_PARERI_1;PARERI_ATTESTAZIONI;0;"VISTI i pareri favorevoli di regolarità tecnica e contabile espressi, rispettivamente, dal responsabile del Settore amministrativo e dal Responsabile del servizio finanziario ai sensi dell'art. 49 del D. Lgs. 18.08.2000, n. 267;";;;;1;0;1
atto_2;docling;markdown;1;PREMESSO;PREMESSO_1;NARRATIVA_PREMESSA;1;"PREMESSO: -che , a seguito di vertenza promossa dal Sig. Antonio Miele innanzi al Tribunale Civile di Cassino fu emessa Sentenza favorevole al Comune di Ausonia n.° 819/2017 con la quale il Miele veniva condannato al pagamento delle spese legali in favore del Comune di Ausonia per complessivi €. 7.232,96; -che , a seguito di successivo Ricorso promosso dal medesimo Sig. Antonio Miele innanzi al Consiglio di Stato fu, parimenti, emessa Sentenza favorevole al Comune di Ausonia n.° 05014/2023 con la quale il ricorrente Miele veniva condannato al pagamento delle spese legali in favore di questo Comune per complessivi €. 5.836,48; -che , pertanto, la parte soccombente è risultata condannata alla rifusione delle spese legali nei confronti dell'Ente, nei due giudizi, per complessivi €. 13.069,44, somma che questo Comune era TENUTO a liquidare all'Avv.to Ivan Caserta, con Studio in Pontecorvo (FR) in quanto incaricato della difesa degli interessi del Comune in ambedue i sopracitati procedimenti, giuste Deliberazioni della Giunta Comunale n.° 113 del 05.10.2015 e n.° 48 del 15.05.2017;";;;;4;0;0
atto_2;docling;markdown;2;CONSIDERATO;CONSIDERATO_1;MOTIVAZIONE;1;"CONSIDERATO che, a fronte della complessiva somma dovuta dalla parte soccombente pari ad €. 13.069,44, ad oggi il Sig. Antonio Miele, nonostante ripetuti solleciti, è ancora debitore nei confronti del Comune di Ausonia di un importo pari ad €. 10.569,44;";;;;1;0;0
atto_2;docling;markdown;3;RAVVISATO;RAVVISATO_1;MOTIVAZIONE;1;"RAVVISATA , pertanto, l'opportunità di agire stragiudizialmente, prima, ed eventualmente in giudizio, poi, al fine di ottenere il pagamento delle sopra quantificate spese legali conferendo incarico ad un Legale di fiducia a tutela degli interessi di questo Comune;";;;;1;0;0
