tool;source_format;tipo_blocco;macro_sezione;n
docling;markdown;ACQUISITI_PARERI;PARERI_ATTESTAZIONI;10
docling;markdown;ACQUISITO;ISTRUTTORIA;4
docling;markdown;ATTESO;MOTIVAZIONE;7
docling;markdown;CONSIDERATO;MOTIVAZIONE;17
docling;markdown;DATO_ATTO;ISTRUTTORIA;22
docling;markdown;PREMESSO;NARRATIVA_PREMESSA;16
docling;markdown;PRESO_ATTO;ISTRUTTORIA;3
docling;markdown;RAVVISATO;MOTIVAZIONE;1
docling;markdown;RICHIAMATO;PREAMBOLO_RIFERIMENTI;6
docling;markdown;RICONOSCIUTO;MOTIVAZIONE_VALUTAZIONE;1
docling;markdown;RILEVATO;ISTRUTTORIA_MOTIVAZIONE;6
docling;markdown;RITENUTO;MOTIVAZIONE_VALUTAZIONE;20
docling;markdown;VALUTATO;MOTIVAZIONE_VALUTAZIONE;2
docling;markdown;VERIFICATO;ISTRUTTORIA;1
docling;markdown;VISTI_PARERI;PARERI_ATTESTAZIONI;3
docling;markdown;VISTO;PREAMBOLO_RIFERIMENTI;66
