id_delibera;ordine_globale;tipo_blocco;testo_blocco
ATTO_001;1;VISTO_1;"VISTO: nan modificazioni dalla Legge 113/2021, contenente, tra l'altro, il piano triennale dei fabbisogni del personale 2025/2027, il relativo programma delle assunzioni e la Sottosezione 2.2 sulla Performance, contenente la programmazione degli obiettivi e degli indicatori di performance di efficienza e di efficacia i cui esiti dovranno essere rendicontati nella presente relazione; - la Deliberazione consiliare n. 6 dell'11.04.2026, di approvazione del rendiconto dell'esercizio finanziario dell'anno 2025;"
ATTO_001;2;VISTO_2;"VISTA l'allegata relazione sulla performance anno 2025, parte integrante e sostanziale del presente provvedimento;"
ATTO_001;3;CONSIDERATO_1;CONSIDERATO che: nan
ATTO_001;4;ATTESO_1;ATTESO che: nan nan
ATTO_001;5;RITENUTO_1;"RITENUTO, pertanto, di dover provvedere ad approvare, ai sensi dell'art. 10 del D. Lgs. n. 150/2009, l'allegata relazione sulla performance relativa all'anno 2025, parte integrante e sostanziale del presente provvedimento, e di trasmetterla, ai sensi dell'art. 14, comma 4, lettera c), e comma 6, del D. Lgs. 150/2009, al Nucleo di Valutazione per la relativa validazione, quale condizione inderogabile per l'accesso agli strumenti premiali di cui al Titolo III del decreto in oggetto, oltre che all' ANAC ai sensi dell'art. 10 del D. Lgs. 150/2009;"
ATTO_001;6;VISTI_PARERI_1;"VISTI i pareri favorevoli di regolarità tecnica e contabile espressi, rispettivamente, dal responsabile del Settore amministrativo e dal Responsabile del servizio finanziario ai sensi dell'art. 49 del D. Lgs. 18.08.2000, n. 267;"
ATTO_002;1;CONSIDERATO_1;"CONSIDERATO che, a fronte della complessiva somma dovuta dalla parte soccombente pari ad €. 13.069,44, ad oggi il Sig. Antonio Miele, nonostante ripetuti solleciti, è ancora debitore nei confronti del Comune di Ausonia di un importo pari ad €. 10.569,44;"
ATTO_002;2;RAVVISATO_1;"RAVVISATA, pertanto, l'opportunità di agire stragiudizialmente, prima, ed eventualmente in giudizio, poi, al fine di ottenere il pagamento delle sopra quantificate spese legali conferendo incarico ad un Legale di fiducia a tutela degli interessi di questo Comune;"
ATTO_002;3;VISTO_1;"VISTA la nota pervenuta in DATA 12.05.2026 (ACQUISITA al protocollo con il n.° 2965), con la quale l'Avv. Emiliano Simeone, con Studio in Spigno Saturnia (LT) - Piazza Dante n.° 1, previ informali contatti, ha manifestato la propria disponibilità ad accettare l'incarico professionale di cui trattasi a tutela del Comune verso il corrispettivo di seguito analiticamente riportato: nan il tutto per un ammontare massimo complessivo di €. 1.577,00 oltre spese per eventuale azione esecutiva mobiliare/immobiliare nei confronti del debitore;"
ATTO_002;4;VALUTATO_1;"VALUTATA l'opportunità di procedere in merito; VALUTATA, altresì, la propria competenza ai sensi del D. Lgs. 267/2000; VISTO il D.Lgs. n.° 267 del 18.08.2000; VISTO il vigente Statuto comunale; ACQUISITI i pareri di regolarità tecnica e contabile ai sensi dell'Art. 49 del TUEL 267/00 e ss. mm. e ii"
ATTO_003;1;ATTESTA_1;"ATTESTA che la presente deliberazione:  È stata affissa all'Albo Pretorio Comunale per quindici giorni consecutivi, dal 05/06/2026 al 20/06/2026 ai sensi dell'art. 124, comma 1, D.Lgs. 267/2000 senza reclami;  È diventata esecutiva il giorno 04/06/2026  Perché dichiarata immediatamente eseguibile (art 134, comma 4, D.Lgs. 267/2000);  Perché decorsi 10 giorni dalla pubblicazione (art. 134, comma 3, D. Lgs. 267/2000); Dalla residenza comunale, lì 05/06/2026 Il Segretario Comunale (Dott. Dott. Zanzarella Vincenzo) Oggetto: Centro estivo Comune di Bitti. Anno 2026. ATTO di indirizzo per l'attivazione. LA GIUNTA MUNICIPALE"
ATTO_003;2;VISTO_1;"VISTA la Deliberazione CC n. 3 del 13/03/2026 di approvazione del documento unico di programmazione (DUP) - periodo 2026-2028 discussione e conseguente deliberazione (art. 170, comma 1, del d.lgs. n. 267/2000);"
ATTO_003;3;VISTO_2;"VISTA la Deliberazione del Consiglio Comunale N. 4 DEL 13/03/2026 avente per oggetto APPROVAZIONE DEL BILANCIO DI PREVISIONE FINANZIARIO 2026-2028 (ART. 151 DEL D.LGS. N. 267/2000 E ART. 10, D.LGS. N. 118/2011);"
ATTO_003;4;VISTO_3;"VISTO il decreto legislativo 23/6/2011 n. 118, emanato in attuazione degli art. 1 e 2 della legge 5 maggio 2009 n. 42 recante ""Disposizioni in materia di armonizzazione dei sistemi contabili e degli schemi di bilancio delle regioni, degli enti locali e dei loro organismi"";"
ATTO_003;5;VISTO_4;"VISTO il decreto legislativo 18 agosto 2000, n. 267, come modificato e integrato dal D.Lgs. 10 agosto 2014, n. 126, dalla L. 23 dicembre 2014, n. 190 e dal D.L. 19 giugno 2015, n. 78, convertito, con modificazioni, dalla L. 6 agosto 2015, n. 125 e in particolare gli artt. 107, 163, 183, 185 e 191;"
ATTO_003;6;PREMESSO_1;"PREMESSO che per l'Amministrazione Comunale riveste fondamentale importanza la promozione e valorizzazione della socialità, nelle sue varie manifestazioni, anche quali momenti di arricchimento e svago rivolti sia agli adulti che ai minori;"
ATTO_003;7;DATO_ATTO_1;"DATO ATTO che le attività estive per bambini e ragazzi rappresentano una soluzione sempre più utilizzata dalle famiglie e nei centri estivi i bambini si ritrovano a spendersi in contesti diversi di gioco, di movimento, di relazione e scambio tra il gruppo dei pari;"
ATTO_003;8;VISTO_5;VISTA la legge 30 dicembre 2025, n. 199, che prevede, all'articolo 1, comma 222, che, al fine di sostenere le famiglie e facilitare la conciliazione fra vita privata e lavoro, nello stato di previsione del Ministero dell'economia e delle finanze, per il successivo trasferimento al bilancio autonomo della Presidenza del Consiglio dei ministri - Dipartimento per le Politiche della famiglia, è istituito un Fondo per le attività socio-educative a favore dei minori, con una dotazione pari a 60 milioni di euro annui a decorrere dall'anno 2026, destinato al finanziamento di iniziative dei comuni, da attuare anche in collaborazione con enti pubblici e privati, finalizzate al potenziamento dei centri estivi, dei servizi socioeducativi territoriali e dei centri con funzione educativa e ricreativa che svolgono attività a favore dei minori. CHE il Comune di Bitti entro la DATA di scadenza ha trasmesso la propria manifestazione di interesse per usufruire del Fondo per le attività socio-educative a favore dei minori per l'anno 2026, come risultante l'elenco provvisorio dei comuni che hanno manifestato l'interesse al finanziamento per le attività socioeducative per l'anno 2026
ATTO_003;9;VISTO_6;"VISTA la Legge Regionale 12 marzo 2026, n. 7, che reca disposizioni per il sostegno alla fruizione dei centri estivi, ne riconosce il valore educativo, sociale e di supporto alla conciliazione dei tempi di vita e di lavoro, promuovendo e sostenendo la partecipazione dei minori residenti in Sardegna, nel periodo di sospensione delle attività scolastiche, alle attività svolte in tali contesti e qualifica ""centri estivi"" le strutture nelle quali si organizzano attività diurne di natura ludico-ricreativa ed educativa rivolte a minori di età compresa tra i 3 e i 17 anni;"
ATTO_003;10;RICHIAMATO_1;"RICHIAMATA la determinazione n. 288 del 13.05.2026 avente per oggetto: ""Legge regionale 12 marzo 2026, n. 7 (Disposizioni per il sostegno alla fruizione dei centri estivi), articoli 2 e 4 e Deliberazione della Giunta Regionale n. 18/39 del 22.04.2026: Primo programma sperimentale di finanziamento"". Approvazione avviso e modulistica annualità 2026."". Approvazione Avviso pubblico e relativa modulistica. Apertura Termini presentazione domande; CHE entro la DATA del 20 maggio 2026 n. 22 famiglie hanno manifestato il proprio interessate alla frequenza di centri estivi da parte dei propri figli; CHE si intende attivare questo importante servizio a favore di minori di età compresa tra i 4 (nati anno 2022) e i 9 anni (nati anno 2017) a partire dal 15 giugno e fino alla DATA del 8 agosto 2026 dando la possibilità di partecipazione anche ai minori che nel periodo estivo trascorrono le proprie vacanze nel nostro paese; CHE si rende necessario inoltre stabilire la quota di partecipazione al centro estivo fissato per tutto il periodo in € 150,00 quale contribuzione utenza e rimborsabile sottoforma di voucher in base alle disponibilità delle somme che la Regione Sardegna garantirà per il sostegno e concesse ai sensi della Legge Regionale 12 marzo 2026, n. 7 e secondo i criteri STABILITI dalla stessa;"
ATTO_003;11;RITENUTO_1;"RITENUTO di demandare agli Uffici la gestione dell'iter amministrativo correlato; Tutto ciò PREMESSO e CONSIDERATO"
