tool;source_format;tipo_blocco;macro_sezione;n
opendataloader;json;ACQUISITI_PARERI;PARERI_ATTESTAZIONI;4
opendataloader;json;ACQUISITO;ISTRUTTORIA;4
opendataloader;json;ATTESO;MOTIVAZIONE;7
opendataloader;json;ATTESTA;PARERI_ATTESTAZIONI;4
opendataloader;json;CONSIDERATO;MOTIVAZIONE;14
opendataloader;json;DATO_ATTO;ISTRUTTORIA;23
opendataloader;json;PREMESSO;NARRATIVA_PREMESSA;11
opendataloader;json;PRESO_ATTO;ISTRUTTORIA;2
opendataloader;json;RAVVISATO;MOTIVAZIONE;1
opendataloader;json;RICHIAMATO;PREAMBOLO_RIFERIMENTI;6
opendataloader;json;RICONOSCIUTO;MOTIVAZIONE_VALUTAZIONE;1
opendataloader;json;RILEVATO;ISTRUTTORIA_MOTIVAZIONE;6
opendataloader;json;RITENUTO;MOTIVAZIONE_VALUTAZIONE;20
opendataloader;json;VALUTATO;MOTIVAZIONE_VALUTAZIONE;1
opendataloader;json;VERIFICATO;ISTRUTTORIA;1
opendataloader;json;VISTI_PARERI;PARERI_ATTESTAZIONI;2
opendataloader;json;VISTO;PREAMBOLO_RIFERIMENTI;50
