id_atto;tool;source_format;sequenza_blocchi
atto_1;opendataloader;json;VISTO > VISTO > CONSIDERATO > ATTESO > RITENUTO > VISTI_PARERI
atto_10;opendataloader;json;ATTESTA > VISTO > VISTO > VISTO > VISTO > VISTO > VISTO > VISTO > RILEVATO > VISTO > DATO_ATTO > RITENUTO > RITENUTO > ACQUISITI_PARERI
atto_11;opendataloader;json;PREMESSO > VISTO > CONSIDERATO > RITENUTO > RITENUTO > VISTI_PARERI > VISTO
atto_12;opendataloader;json;ATTESTA
atto_13;opendataloader;json;PREMESSO > CONSIDERATO > RITENUTO > VISTO
atto_14;opendataloader;json;ATTESTA
atto_15;opendataloader;json;PRESO_ATTO
atto_16;opendataloader;json;PREMESSO > PREMESSO > RITENUTO > RILEVATO > RILEVATO > RILEVATO > RILEVATO > CONSIDERATO > VISTO > DATO_ATTO > RICONOSCIUTO
atto_17;opendataloader;json;DATO_ATTO > DATO_ATTO > RICHIAMATO > VISTO > CONSIDERATO > VISTO > RITENUTO > ACQUISITO
atto_18;opendataloader;json;PREMESSO > DATO_ATTO > VISTO > DATO_ATTO > ATTESO > DATO_ATTO > VISTO > DATO_ATTO > RITENUTO > CONSIDERATO > ATTESO > RITENUTO > ACQUISITO
atto_19;opendataloader;json;PREMESSO > DATO_ATTO > VISTO > DATO_ATTO > ATTESO > DATO_ATTO > VISTO > RITENUTO > CONSIDERATO > DATO_ATTO > ATTESO > VISTO > DATO_ATTO
atto_2;opendataloader;json;CONSIDERATO > RAVVISATO > VISTO > VALUTATO
atto_20;opendataloader;json;PREMESSO > DATO_ATTO > VISTO > CONSIDERATO > ATTESO > DATO_ATTO > VISTO > RITENUTO > CONSIDERATO > DATO_ATTO > ATTESO > DATO_ATTO
atto_3;opendataloader;json;ATTESTA > VISTO > VISTO > VISTO > VISTO > PREMESSO > DATO_ATTO > VISTO > VISTO > RICHIAMATO > RITENUTO
atto_4;opendataloader;json;ACQUISITI_PARERI > VISTO > VISTO > VISTO > VISTO > DATO_ATTO > DATO_ATTO > CONSIDERATO > VISTO > ACQUISITO > VISTO
atto_5;opendataloader;json;PREMESSO > PREMESSO > RICHIAMATO > PRESO_ATTO > VISTO > VISTO > VISTO > VISTO > RITENUTO > VISTO
atto_6;opendataloader;json;VISTO > CONSIDERATO > RITENUTO > VISTO > ACQUISITI_PARERI
atto_7;opendataloader;json;PREMESSO > VISTO > RICHIAMATO > RICHIAMATO > RITENUTO > VISTO > DATO_ATTO > CONSIDERATO > RILEVATO > DATO_ATTO > VISTO > RITENUTO > VISTO > RITENUTO
atto_8;opendataloader;json;CONSIDERATO > RITENUTO > VISTO > ACQUISITI_PARERI
atto_9;opendataloader;json;RICHIAMATO > VERIFICATO > VISTO > DATO_ATTO > ACQUISITO > RITENUTO > VISTO
