tool;source_format;marker_detected;n
opendataloader;markdown;ACQUISITI_PARERI;4
opendataloader;markdown;ACQUISITO;4
opendataloader;markdown;ATTESO;7
opendataloader;markdown;ATTESTA;27
opendataloader;markdown;CONSIDERATO;14
opendataloader;markdown;DATO_ATTO;23
opendataloader;markdown;DELIBERA;22
opendataloader;markdown;PREMESSO;11
opendataloader;markdown;PRESO_ATTO;2
opendataloader;markdown;PROPONE_DELIBERARE;1
opendataloader;markdown;RAVVISATO;1
opendataloader;markdown;RICHIAMATO;6
opendataloader;markdown;RICONOSCIUTO;1
opendataloader;markdown;RILEVATO;6
opendataloader;markdown;RITENUTO;20
opendataloader;markdown;VALUTATO;1
opendataloader;markdown;VERIFICATO;1
opendataloader;markdown;VISTI_PARERI;2
opendataloader;markdown;VISTO;50
