tool;source_format;marker_detected;n
opendataloader;markdown;ACQUISITI_PARERI;9
opendataloader;markdown;ACQUISITO;8
opendataloader;markdown;ANALIZZATO;1
opendataloader;markdown;ATTESO;19
opendataloader;markdown;ATTESTA;26
opendataloader;markdown;ATTESTATO;4
opendataloader;markdown;CONSIDERATO;45
opendataloader;markdown;DATO_ATTO;52
opendataloader;markdown;DELIBERA;53
opendataloader;markdown;ESAMINATO;2
opendataloader;markdown;EVIDENZIATO;5
opendataloader;markdown;FORMULATO;4
opendataloader;markdown;INDIVIDUATO;2
opendataloader;markdown;LETTO;31
opendataloader;markdown;PRECISATO;7
opendataloader;markdown;PREDISPOSTO;1
opendataloader;markdown;PREMESSO;22
opendataloader;markdown;PRESO_ATTO;22
opendataloader;markdown;PROPONE_DELIBERARE;1
opendataloader;markdown;RAVVISATO;2
opendataloader;markdown;RICHIAMATO;22
opendataloader;markdown;RICONOSCIUTO;6
opendataloader;markdown;RICORDATO;1
opendataloader;markdown;RILEVATO;15
opendataloader;markdown;RITENUTO;51
opendataloader;markdown;TENUTO_CONTO;4
opendataloader;markdown;UDITO;6
opendataloader;markdown;VALUTATO;5
opendataloader;markdown;VERIFICATO;2
opendataloader;markdown;VISTI_PARERI;13
opendataloader;markdown;VISTO;132
