tool;source_format;tipo_blocco;macro_sezione;n
opendataloader;markdown;ACQUISITI_PARERI;PARERI_ATTESTAZIONI;9
opendataloader;markdown;ACQUISITO;ISTRUTTORIA;8
opendataloader;markdown;ANALIZZATO;ISTRUTTORIA_VALUTAZIONE;1
opendataloader;markdown;ATTESO;MOTIVAZIONE;18
opendataloader;markdown;ATTESTA;ALTRO;4
opendataloader;markdown;CONSIDERATO;MOTIVAZIONE;45
opendataloader;markdown;DATO_ATTO;ISTRUTTORIA;52
opendataloader;markdown;DISPOSITIVO_DELIBERA;DISPOSITIVO_DELIBERA;50
opendataloader;markdown;DISPOSITIVO_PROPOSTA;DISPOSITIVO_PROPOSTA;13
opendataloader;markdown;ESAMINATO;ISTRUTTORIA_VALUTAZIONE;2
opendataloader;markdown;EVIDENZIATO;MOTIVAZIONE;5
opendataloader;markdown;FORMULATO;ISTRUTTORIA;4
opendataloader;markdown;INDIVIDUATO;ISTRUTTORIA;2
opendataloader;markdown;PRECISATO;ISTRUTTORIA_MOTIVAZIONE;7
opendataloader;markdown;PREDISPOSTO;ISTRUTTORIA;1
opendataloader;markdown;PREMESSO;NARRATIVA_PREMESSA;22
opendataloader;markdown;PRESO_ATTO;ISTRUTTORIA;22
opendataloader;markdown;RAVVISATO;MOTIVAZIONE;2
opendataloader;markdown;RICHIAMATO;PREAMBOLO_RIFERIMENTI;22
opendataloader;markdown;RICONOSCIUTO;MOTIVAZIONE_VALUTAZIONE;6
opendataloader;markdown;RICORDATO;PREAMBOLO_RIFERIMENTI;1
opendataloader;markdown;RILEVATO;ISTRUTTORIA_MOTIVAZIONE;15
opendataloader;markdown;RITENUTO;MOTIVAZIONE_VALUTAZIONE;51
opendataloader;markdown;TENUTO_CONTO;ISTRUTTORIA_MOTIVAZIONE;4
opendataloader;markdown;UDITO;ISTRUTTORIA;6
opendataloader;markdown;VALUTATO;MOTIVAZIONE_VALUTAZIONE;5
opendataloader;markdown;VERIFICATO;ISTRUTTORIA;2
opendataloader;markdown;VISTI_PARERI;PARERI_ATTESTAZIONI;13
opendataloader;markdown;VISTO;PREAMBOLO_RIFERIMENTI;126
