tool;source_format;marker_detected;n
docling;markdown;ACQUISITI_PARERI;17
docling;markdown;ACQUISITO;9
docling;markdown;ANALIZZATO;1
docling;markdown;ATTESO;23
docling;markdown;ATTESTA;35
docling;markdown;ATTESTATO;4
docling;markdown;CONSIDERATO;50
docling;markdown;DATO_ATTO;56
docling;markdown;DELIBERA;59
docling;markdown;ESAMINATO;3
docling;markdown;EVIDENZIATO;4
docling;markdown;FORMULATO;4
docling;markdown;INDIVIDUATO;2
docling;markdown;LETTO;15
docling;markdown;PRECISATO;8
docling;markdown;PREDISPOSTO;1
docling;markdown;PREMESSO;33
docling;markdown;PRESO_ATTO;23
docling;markdown;PROPONE_DELIBERARE;3
docling;markdown;RAVVISATO;2
docling;markdown;RICHIAMATO;23
docling;markdown;RICONOSCIUTO;6
docling;markdown;RICORDATO;1
docling;markdown;RILEVATO;16
docling;markdown;RITENUTO;59
docling;markdown;STABILITO;1
docling;markdown;TENUTO_CONTO;4
docling;markdown;VALUTATO;7
docling;markdown;VERIFICATO;2
docling;markdown;VISTI_PARERI;13
docling;markdown;VISTO;170
