id_atto;tool;source_format;sequenza_blocchi
atto_1;docling;markdown;PREMESSO > VISTO > VISTO > CONSIDERATO > ATTESO > RITENUTO > VISTI_PARERI
atto_10;docling;markdown;ACQUISITI_PARERI
atto_11;docling;markdown;PREMESSO > VISTO > CONSIDERATO > RITENUTO > RITENUTO > VISTI_PARERI > VISTO
atto_12;docling;markdown;PREMESSO > CONSIDERATO > RITENUTO > VISTO > VISTO > ACQUISITI_PARERI > RITENUTO
atto_13;docling;markdown;PREMESSO > CONSIDERATO > RITENUTO > VISTO > VISTO > ACQUISITI_PARERI > RITENUTO
atto_15;docling;markdown;PRESO_ATTO > VISTO > CONSIDERATO > DATO_ATTO > RILEVATO > VISTO > CONSIDERATO > VISTO > RITENUTO > VISTO > VISTO
atto_16;docling;markdown;PREMESSO > PREMESSO > RITENUTO > RILEVATO > RILEVATO > RILEVATO > RILEVATO > CONSIDERATO > VISTO > VISTO > DATO_ATTO > RICONOSCIUTO
atto_17;docling;markdown;DATO_ATTO > DATO_ATTO > RICHIAMATO > VISTO > CONSIDERATO > VISTO > RITENUTO > ACQUISITO > VISTO > VISTO > VISTO
atto_18;docling;markdown;PREMESSO > DATO_ATTO > VISTO > DATO_ATTO > ATTESO > DATO_ATTO > VISTO > DATO_ATTO > RITENUTO > CONSIDERATO > ATTESO > RITENUTO > ACQUISITO > VISTO > VISTO > VISTO
atto_19;docling;markdown;PREMESSO > DATO_ATTO > VISTO > DATO_ATTO > ATTESO > DATO_ATTO > VISTO > RITENUTO > CONSIDERATO > DATO_ATTO > ATTESO > VISTO > VISTO > VISTO > DATO_ATTO
atto_2;docling;markdown;PREMESSO > CONSIDERATO > RAVVISATO > VISTO > VALUTATO > VALUTATO > VISTO > VISTO > ACQUISITI_PARERI
atto_20;docling;markdown;PREMESSO > DATO_ATTO > VISTO > CONSIDERATO > ATTESO > DATO_ATTO > VISTO > RITENUTO > CONSIDERATO > DATO_ATTO > ATTESO > VISTO > VISTO > VISTO > DATO_ATTO
atto_21;docling;markdown;RICONOSCIUTO > RICHIAMATO > DATO_ATTO > VISTO > CONSIDERATO > DATO_ATTO > CONSIDERATO > VISTO > RILEVATO > RITENUTO > DATO_ATTO
atto_22;docling;markdown;RICONOSCIUTO > PREMESSO > VISTO > VISTO > VISTO > DATO_ATTO > VISTI_PARERI
atto_23;docling;markdown;RICONOSCIUTO > VISTO > PRESO_ATTO > RICHIAMATO > CONSIDERATO > RITENUTO > VISTI_PARERI
atto_24;docling;markdown;VISTO > ATTESO > RILEVATO > DATO_ATTO > RITENUTO > DATO_ATTO > DATO_ATTO > CONSIDERATO > VISTO
atto_25;docling;markdown;VISTO > DATO_ATTO > VISTO > RICHIAMATO > DATO_ATTO > CONSIDERATO > ATTESO > DATO_ATTO > DATO_ATTO > VISTO > RITENUTO > VISTO > PRESO_ATTO
atto_26;docling;markdown;PREMESSO > DATO_ATTO > RICHIAMATO > RICHIAMATO > ATTESO > VISTO > RAVVISATO > CONSIDERATO > ACQUISITI_PARERI > VISTO
