id_atto;tool;source_format;sequenza_blocchi
atto_1;opendataloader;markdown;VISTO > VISTO > CONSIDERATO > ATTESO > RITENUTO > VISTI_PARERI
atto_10;opendataloader;markdown;ATTESTA > VISTO > VISTO > VISTO > VISTO > VISTO > VISTO > VISTO > RILEVATO > VISTO > DATO_ATTO > RITENUTO > RITENUTO > ACQUISITI_PARERI
atto_11;opendataloader;markdown;PREMESSO > VISTO > CONSIDERATO > RITENUTO > RITENUTO > VISTI_PARERI > VISTO
atto_12;opendataloader;markdown;ATTESTA
atto_13;opendataloader;markdown;PREMESSO > CONSIDERATO > RITENUTO > VISTO
atto_14;opendataloader;markdown;ATTESTA
atto_15;opendataloader;markdown;PRESO_ATTO
atto_16;opendataloader;markdown;PREMESSO > PREMESSO > RITENUTO > RILEVATO > RILEVATO > RILEVATO > RILEVATO > CONSIDERATO > VISTO > DATO_ATTO > RICONOSCIUTO
atto_17;opendataloader;markdown;DATO_ATTO > DATO_ATTO > RICHIAMATO > VISTO > CONSIDERATO > VISTO > RITENUTO > ACQUISITO
atto_18;opendataloader;markdown;PREMESSO > DATO_ATTO > VISTO > DATO_ATTO > ATTESO > DATO_ATTO > VISTO > DATO_ATTO > RITENUTO > CONSIDERATO > ATTESO > RITENUTO > ACQUISITO
atto_19;opendataloader;markdown;PREMESSO > DATO_ATTO > VISTO > DATO_ATTO > ATTESO > DATO_ATTO > VISTO > RITENUTO > CONSIDERATO > DATO_ATTO > ATTESO > VISTO > DATO_ATTO
atto_2;opendataloader;markdown;CONSIDERATO > RAVVISATO > VISTO > VALUTATO
atto_20;opendataloader;markdown;PREMESSO > DATO_ATTO > VISTO > CONSIDERATO > ATTESO > DATO_ATTO > VISTO > RITENUTO > CONSIDERATO > DATO_ATTO > ATTESO
atto_21;opendataloader;markdown;RICONOSCIUTO > DATO_ATTO > VISTO > CONSIDERATO > DATO_ATTO > CONSIDERATO > VISTO > RILEVATO > RITENUTO > DATO_ATTO
atto_22;opendataloader;markdown;RICONOSCIUTO > PREMESSO > VISTO > VISTO > VISTO > DATO_ATTO > VISTI_PARERI
atto_23;opendataloader;markdown;RICONOSCIUTO > VISTO > PRESO_ATTO > RICHIAMATO > CONSIDERATO > RITENUTO > VISTI_PARERI
atto_24;opendataloader;markdown;VISTO > ATTESO > RILEVATO > DATO_ATTO > RITENUTO > DATO_ATTO > DATO_ATTO > CONSIDERATO > VISTO
atto_25;opendataloader;markdown;VISTO > DATO_ATTO > VISTO > RICHIAMATO > DATO_ATTO > CONSIDERATO > ATTESO > DATO_ATTO > VISTO > RITENUTO > VISTO > PRESO_ATTO
atto_26;opendataloader;markdown;PREMESSO > DATO_ATTO > RICHIAMATO > RICHIAMATO > ATTESO > VISTO > RAVVISATO > CONSIDERATO > ACQUISITI_PARERI
atto_27;opendataloader;markdown;RITENUTO
atto_28;opendataloader;markdown;PREMESSO > RILEVATO > PRESO_ATTO > RICHIAMATO > RICHIAMATO > VISTO > VISTO > PRESO_ATTO > VISTO > VISTO > RITENUTO > VISTO
atto_29;opendataloader;markdown;VISTO > CONSIDERATO > TENUTO_CONTO > RICHIAMATO > DATO_ATTO > PRESO_ATTO > ACQUISITI_PARERI > VISTO
atto_3;opendataloader;markdown;ATTESTA > VISTO > VISTO > VISTO > VISTO > PREMESSO > DATO_ATTO > VISTO > VISTO > RICHIAMATO > RITENUTO
atto_30;opendataloader;markdown;VISTO > VISTO > VISTO > VISTO > RILEVATO > VISTO > RITENUTO > VISTO > TENUTO_CONTO > RITENUTO
atto_31;opendataloader;markdown;ACQUISITO > VISTO > VISTO > VISTO > VISTO > VISTO > PRESO_ATTO > CONSIDERATO > ANALIZZATO
atto_32;opendataloader;markdown;PREMESSO > CONSIDERATO > VISTO > DATO_ATTO > CONSIDERATO > TENUTO_CONTO > PRESO_ATTO > DATO_ATTO > CONSIDERATO > VISTO > RITENUTO > RITENUTO > RITENUTO > RITENUTO > RITENUTO > VALUTATO > VISTI_PARERI > VISTO
atto_33;opendataloader;markdown;VISTO > VISTO > VISTO > VISTO > RILEVATO > RILEVATO > PRESO_ATTO > VISTO > DATO_ATTO > VISTO > VISTO > VISTO > VISTO > VISTO > VISTO > CONSIDERATO > VISTO > VISTO > DATO_ATTO > VISTO > RITENUTO > VISTO > VISTO > CONSIDERATO > PRESO_ATTO > RITENUTO > RITENUTO > VISTO > RITENUTO > VALUTATO > VISTI_PARERI > VISTO
atto_34;opendataloader;markdown;PREMESSO > RITENUTO > VALUTATO > VISTI_PARERI > VISTO
atto_35;opendataloader;markdown;PREMESSO > DATO_ATTO > EVIDENZIATO > CONSIDERATO > RITENUTO > ACQUISITI_PARERI > VISTO > VISTO > VISTO
atto_36;opendataloader;markdown;VISTO > VISTO > CONSIDERATO > CONSIDERATO > CONSIDERATO > CONSIDERATO > PRECISATO > PRECISATO > VISTO > VISTO > DATO_ATTO > TENUTO_CONTO > VISTO > ATTESO > VISTI_PARERI > VISTI_PARERI > VISTO
atto_37;opendataloader;markdown;RICHIAMATO > RICHIAMATO > VISTO > RICHIAMATO > CONSIDERATO > CONSIDERATO > RITENUTO > EVIDENZIATO > VISTI_PARERI > VISTI_PARERI > VISTO
atto_38;opendataloader;markdown;FORMULATO > RILEVATO > PRECISATO > PREDISPOSTO > VISTO
atto_39;opendataloader;markdown;FORMULATO > DATO_ATTO > EVIDENZIATO > CONSIDERATO > VISTO > CONSIDERATO > RITENUTO > ACQUISITO
atto_4;opendataloader;markdown;ACQUISITI_PARERI > VISTO > VISTO > VISTO > VISTO > DATO_ATTO > DATO_ATTO > CONSIDERATO > VISTO > ACQUISITO > VISTO
atto_40;opendataloader;markdown;FORMULATO > TENUTO_CONTO > DATO_ATTO > ATTESO > INDIVIDUATO > PRECISATO > ACQUISITO
atto_41;opendataloader;markdown;FORMULATO > CONSIDERATO > PRESO_ATTO > VALUTATO > RICONOSCIUTO > ATTESO > RICONOSCIUTO > PRESO_ATTO > ACQUISITO > RILEVATO > VISTO
atto_42;opendataloader;markdown;PREMESSO > CONSIDERATO > RICORDATO > RITENUTO > PRECISATO > ATTESO > EVIDENZIATO > PRECISATO > DATO_ATTO > ATTESO > RITENUTO > RITENUTO > PRESO_ATTO > VISTO > VISTO > VISTO
atto_43;opendataloader;markdown;CONSIDERATO > PRESO_ATTO > RITENUTO > VISTO
atto_44;opendataloader;markdown;CONSIDERATO > CONSIDERATO > RITENUTO > VISTO
atto_45;opendataloader;markdown;RILEVATO > ATTESO > VISTO > DATO_ATTO
atto_46;opendataloader;markdown;CONSIDERATO > RITENUTO > VISTO
atto_47;opendataloader;markdown;PREMESSO > ESAMINATO > EVIDENZIATO > RITENUTO > RICHIAMATO
atto_48;opendataloader;markdown;PRECISATO > DATO_ATTO > RITENUTO > ACQUISITI_PARERI
atto_49;opendataloader;markdown;PREMESSO > RICHIAMATO > PRESO_ATTO > PRESO_ATTO > VERIFICATO > RICHIAMATO > INDIVIDUATO > PRESO_ATTO > VISTI_PARERI > RICHIAMATO
atto_5;opendataloader;markdown;PREMESSO > PREMESSO > RICHIAMATO > PRESO_ATTO > VISTO > VISTO > VISTO > VISTO > RITENUTO > VISTO
atto_50;opendataloader;markdown;PREMESSO > CONSIDERATO > PRESO_ATTO > VISTO > CONSIDERATO > PRESO_ATTO > VISTO > ACQUISITI_PARERI
atto_6;opendataloader;markdown;VISTO > CONSIDERATO > RITENUTO > VISTO > ACQUISITI_PARERI
atto_7;opendataloader;markdown;PREMESSO > VISTO > RICHIAMATO > RICHIAMATO > RITENUTO > VISTO > DATO_ATTO > CONSIDERATO > RILEVATO > DATO_ATTO > VISTO > RITENUTO > VISTO > RITENUTO
atto_8;opendataloader;markdown;CONSIDERATO > RITENUTO > VISTO > ACQUISITI_PARERI
atto_9;opendataloader;markdown;RICHIAMATO > VERIFICATO > VISTO > DATO_ATTO > ACQUISITO > RITENUTO > VISTO
