id_delibera;estrattore;format;reference_source;marker_precision;marker_recall;boundary_accuracy;text_fidelity;noise_exclusion;overall_score;issues;notes
ATTO_001;DOCLING;ERRORE;;;;;;;;;HTTP Error 401: Unauthorized
ATTO_002;DOCLING;ERRORE;;;;;;;;;HTTP Error 401: Unauthorized
ATTO_003;DOCLING;ERRORE;;;;;;;;;[Errno 22] Invalid argument
ATTO_004;DOCLING;ERRORE;;;;;;;;;[Errno 22] Invalid argument
ATTO_005;DOCLING;ERRORE;;;;;;;;;[Errno 22] Invalid argument
ATTO_006;DOCLING;ERRORE;;;;;;;;;[Errno 22] Invalid argument
ATTO_007;DOCLING;ERRORE;;;;;;;;;[Errno 22] Invalid argument
ATTO_008;DOCLING;ERRORE;;;;;;;;;[Errno 22] Invalid argument
ATTO_009;DOCLING;ERRORE;;;;;;;;;[Errno 22] Invalid argument
ATTO_010;DOCLING;ERRORE;;;;;;;;;[Errno 22] Invalid argument
ATTO_011;DOCLING;ERRORE;;;;;;;;;[Errno 22] Invalid argument
ATTO_012;DOCLING;ERRORE;;;;;;;;;[Errno 22] Invalid argument
ATTO_013;DOCLING;ERRORE;;;;;;;;;[Errno 22] Invalid argument
ATTO_014;DOCLING;ERRORE;;;;;;;;;[Errno 22] Invalid argument
ATTO_015;DOCLING;ERRORE;;;;;;;;;[Errno 22] Invalid argument
ATTO_016;DOCLING;ERRORE;;;;;;;;;[Errno 22] Invalid argument
ATTO_017;DOCLING;ERRORE;;;;;;;;;[Errno 22] Invalid argument
ATTO_018;DOCLING;ERRORE;;;;;;;;;[Errno 22] Invalid argument
ATTO_019;DOCLING;ERRORE;;;;;;;;;[Errno 22] Invalid argument
ATTO_020;DOCLING;ERRORE;;;;;;;;;[Errno 22] Invalid argument
ATTO_021;DOCLING;ERRORE;;;;;;;;;[Errno 22] Invalid argument
ATTO_022;DOCLING;ERRORE;;;;;;;;;[Errno 22] Invalid argument
ATTO_023;DOCLING;ERRORE;;;;;;;;;[Errno 22] Invalid argument
ATTO_024;DOCLING;ERRORE;;;;;;;;;[Errno 22] Invalid argument
ATTO_025;DOCLING;ERRORE;;;;;;;;;[Errno 22] Invalid argument
ATTO_026;DOCLING;ERRORE;;;;;;;;;[Errno 22] Invalid argument
ATTO_027;DOCLING;ERRORE;;;;;;;;;[Errno 22] Invalid argument
ATTO_028;DOCLING;ERRORE;;;;;;;;;[Errno 22] Invalid argument
ATTO_029;DOCLING;ERRORE;;;;;;;;;[Errno 22] Invalid argument
ATTO_030;DOCLING;ERRORE;;;;;;;;;[Errno 22] Invalid argument
ATTO_031;DOCLING;ERRORE;;;;;;;;;[Errno 22] Invalid argument
ATTO_032;DOCLING;ERRORE;;;;;;;;;[Errno 22] Invalid argument
ATTO_033;DOCLING;ERRORE;;;;;;;;;[Errno 22] Invalid argument
ATTO_034;DOCLING;ERRORE;;;;;;;;;[Errno 22] Invalid argument
ATTO_035;DOCLING;ERRORE;;;;;;;;;[Errno 22] Invalid argument
ATTO_036;DOCLING;ERRORE;;;;;;;;;[Errno 22] Invalid argument
ATTO_037;DOCLING;ERRORE;;;;;;;;;[Errno 22] Invalid argument
ATTO_038;DOCLING;ERRORE;;;;;;;;;[Errno 22] Invalid argument
ATTO_039;DOCLING;ERRORE;;;;;;;;;[Errno 22] Invalid argument
ATTO_040;DOCLING;ERRORE;;;;;;;;;[Errno 22] Invalid argument
ATTO_041;DOCLING;ERRORE;;;;;;;;;[Errno 22] Invalid argument
ATTO_042;DOCLING;ERRORE;;;;;;;;;[Errno 22] Invalid argument
ATTO_043;DOCLING;ERRORE;;;;;;;;;[Errno 22] Invalid argument
ATTO_044;DOCLING;ERRORE;;;;;;;;;[Errno 22] Invalid argument
ATTO_045;DOCLING;ERRORE;;;;;;;;;[Errno 22] Invalid argument
ATTO_046;DOCLING;ERRORE;;;;;;;;;[Errno 22] Invalid argument
ATTO_047;DOCLING;ERRORE;;;;;;;;;[Errno 22] Invalid argument
ATTO_048;DOCLING;ERRORE;;;;;;;;;[Errno 22] Invalid argument
ATTO_049;DOCLING;ERRORE;;;;;;;;;[Errno 22] Invalid argument
ATTO_050;DOCLING;ERRORE;;;;;;;;;[Errno 22] Invalid argument
