file;output;sorgente;raw_path;caratteri_raw;caratteri_puliti;score_raw;score_pulito
atto_1.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\dataset_pilota\txt_open-rapid-paddle\atto_1.txt;opendataloader;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\dataset_pilota\output_odl\raw\opendataloader\atto_1.txt;6131;2179;86;71
atto_2.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\dataset_pilota\txt_open-rapid-paddle\atto_2.txt;opendataloader;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\dataset_pilota\output_odl\raw\opendataloader\atto_2.txt;7048;1571;85;60
atto_3.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\dataset_pilota\txt_open-rapid-paddle\atto_3.txt;opendataloader;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\dataset_pilota\output_odl\raw\opendataloader\atto_3.txt;3029;1553;81;65
atto_4.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\dataset_pilota\txt_open-rapid-paddle\atto_4.txt;opendataloader;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\dataset_pilota\output_odl\raw\opendataloader\atto_4.txt;22877;9525;86;88
atto_5.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\dataset_pilota\txt_open-rapid-paddle\atto_5.txt;opendataloader;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\dataset_pilota\output_odl\raw\opendataloader\atto_5.txt;4596;2453;86;72
atto_6.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\dataset_pilota\txt_open-rapid-paddle\atto_6.txt;opendataloader;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\dataset_pilota\output_odl\raw\opendataloader\atto_6.txt;6120;2472;87;75
atto_7.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\dataset_pilota\txt_open-rapid-paddle\atto_7.txt;opendataloader;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\dataset_pilota\output_odl\raw\opendataloader\atto_7.txt;4604;2290;83;72
atto_8.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\dataset_pilota\txt_open-rapid-paddle\atto_8.txt;opendataloader;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\dataset_pilota\output_odl\raw\opendataloader\atto_8.txt;39;0;0;0
atto_9.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\dataset_pilota\txt_open-rapid-paddle\atto_9.txt;opendataloader;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\dataset_pilota\output_odl\raw\opendataloader\atto_9.txt;5050;1770;86;66
atto_10.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\dataset_pilota\txt_open-rapid-paddle\atto_10.txt;opendataloader;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\dataset_pilota\output_odl\raw\opendataloader\atto_10.txt;9332;3511;86;81
